"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"46214","925596648680099469749529267599733718","7770000000000115522","UnderConsideration","C1","4000741400001402409","1595238461463000","1719792403026000"
"46215","04576806199901698249151980857537957423019697","4060741400331163531","UnderConsideration","Unspecified","4060741400376470171","1716539012026000","1719793187844000"
"46216","6899829374211049593218837565915","4060741400335399351","Available","Unspecified","","1719567431919000","1719796841973000"
"46217","796586547978091300346287278139087216356993","4060741400335399351","UnderConsideration","B2+","4060741400010084400","1604668203954000","1719797806106000"
"46218","58548640699362420354890094010374175317","4060741400007923366","Available","B2","1013","1719802016212000","1719802016336000"
"46219","58548640699362420354890094010374175317","4060741400007923366","UnderConsideration","B2","1013","1719802016212000","1719802214960000"
"46220","904841730625411657405926679505823614","4060741400007923323","Available","Unspecified","","1719803075234000","1719803075342000"
"46221","904841730625411657405926679505823614","4060741400007923323","UnderConsideration","Unspecified","","1719803075234000","1719803097269000"
"46222","629414223720020589467151299053586361526","4060741400007923328","Available","Unspecified","","1719805875655000","1719805875793000"
"46223","629414223720020589467151299053586361526","4060741400007923328","UnderConsideration","Unspecified","","1719805875655000","1719805939813000"
"46224","1612142655348499859812732040723061","4060741400331163531","UnderConsideration","Unspecified","","1719567132615000","1719808600976000"
"46225","56905174999096326736204837375276998","4060741400007923322","UnderConsideration","Unspecified","1011","1575362688051000","1719811426057000"
"46226","46720708383561369787468877660092136214060359","4060741400007923318","Available","Unspecified","","1719811731404000","1719811731499000"
"46227","46720708383561369787468877660092136214060359","4060741400007923318","UnderConsideration","Unspecified","","1719811731404000","1719811748090000"
"46228","010467658880039530310020376105622652","4060741400007923325","Proposed","B2","4060741400010084401","1490260065101000","1719812360150000"
"46229","32013146519639510659583212121209973194542704985","4060741400331163531","UnderConsideration","Unspecified","4060741400376470171","1718011402851000","1719814730625000"
"46230","5392619284228154296337044440757934043256157","4060741400331163531","Proposed","Unspecified","4060741400376470171","1716625496662000","1719817791774000"
"46231","3613362979824332566426230733752092779701945","7770000000000116481","UnderConsideration","Unspecified","4060741400007382359","1708007150313000","1719817903677000"
"46232","807063089641184994308924415408269913721451","4060741400335399362","UnderConsideration","Unspecified","4060741400007514502","1717771893431000","1719817992757000"
"46233","4088644130027946241175121521709281773","7770000000002201479","UnderConsideration","Unspecified","4060741400007514502","1717776009822000","1719817993350000"
"46234","530199251137458829122879286646532115","7770000000002201479","UnderConsideration","Unspecified","4060741400007514502","1637535248670000","1719817993867000"
"46235","873415270058864156341956407883612433","4060741400007923339","UnderConsideration","C1","1012","1717226662195000","1719818918481000"
"46236","8585167122161150624701056499678291224","4060741400007923322","Onboarding","B1","1012","1716186816199000","1719819477702000"
"46237","873415270058864156341956407883612433","4060741400007923339","UnderConsideration","C1","1011","1717226662195000","1719819725825000"
"46238","9574061907514335091607694326308914","4060741400007923316","UnderConsideration","Unspecified","","1666278670892000","1719820969024000"
"46239","47565975705606407586823593845267991","4060741400007923425","UnderConsideration","Unspecified","8050000000000001377","1710179119309000","1719821026950000"
"46240","8157251687097841232738335096809364461900","4060741400007923359","UnderConsideration","B2","1013","1685107233092000","1719821059142000"
"46241","758399637390181605646378933132477395","4060741400007923349","UnderConsideration","Unspecified","4060741400010084399","1667390832044000","1719821375001000"
"46242","84438668096683429794677751517669884262294","4060741400007923322","Proposed","Unspecified","4000741400001402409","1389714900000000","1719822281761000"
"46243","1276450768338779608396226305330835088874176","7770000000000131092","UnderConsideration","Unspecified","1013","1716280091384000","1719822670024000"
"46244","6799948315716424158069188298928520515773723","4060741400007923322","Onboarding","B1+","1012","1717038842165000","1719823080374000"
"46245","11897010057404262556925973995836653141","4060741400007923316","UnderConsideration","B1+","1013","1647433872865000","1719823193383000"
"46246","61290148612184995656826864511857245155","4060741400007923316","Booked","Unspecified","1013","1718056692693000","1719823579757000"
"46247","1276450768338779608396226305330835088874176","4060741400037637413","UnderConsideration","Unspecified","1013","1716280091384000","1719823929108000"
"46248","15035012317927097327676166415426317","7770000000000115522","Booked","Unspecified","1012","1647956790711000","1719824011749000"
"46249","5079352176740808973219925865578978033097","4060741400007923323","Available","B1","","1719824849260000","1719824849422000"
"46250","5079352176740808973219925865578978033097","4060741400007923323","UnderConsideration","B1","","1719824849260000","1719825019855000"
"46251","0995823762652282083820391314516884661326","7770000000000115524","Employed","Unspecified","1013","1653986511328000","1719825159958000"
"46252","6648976606472151373789661091072851865479","7770000000000115522","Employed","Unspecified","4000741400001402409","1704963491290000","1719825285185000"
"46253","2911055571576718633367775776091290066154050","4060741400007923359","Available","Unspecified","","1719825371750000","1719825371869000"
"46254","2005187851922753215860756528589247249715","4060741400007923322","Available","Unspecified","","1719825663897000","1719825664050000"
"46255","9950277726715342675670499465151226153474903","4060741400007923316","UnderConsideration","Unspecified","1013","1695211508865000","1719825898763000"
"46256","757314696994223401143320313895093811843","4060741400007923316","UnderConsideration","Unspecified","","1706892782852000","1719825967170000"
"46257","9352376380972127008701014370738922754655345726","48","UnderConsideration","Unspecified","","1592821267701000","1719826138919000"
"46258","45919429121006842872323580260220654671123319","4060741400007923339","UnderConsideration","Unspecified","108","1714124046079000","1719826205038000"
"46259","0668336477238773844631522532586015","7770000000000148669","UnderConsideration","B2","4060741400010084400","1669613333683000","1719826207206000"
"46260","45919429121006842872323580260220654671123319","4060741400007923339","UnderConsideration","Unspecified","1011","1714124046079000","1719827137318000"
"46261","43286061230887127296374890129059976400807","7770000000000115522","UnderConsideration","Unspecified","","1719256092421000","1719827735404000"
"46262","6998837765130655968936847314277774864650","4060741400007923359","UnderConsideration","Unspecified","","1710852250668000","1719827858205000"
"46263","76934655543627141386778389112784601789","4060741400034944001","Available","C1","4060741400034237215","1571136308357000","1719828600149000"
"46264","43286061230887127296374890129059976400807","7770000000000131092","UnderConsideration","Unspecified","1013","1719256092421000","1719828688819000"
