"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"42391","5403668953623876148758633993935144317477","4060741400007923423","Proposed","Unspecified","1013","1716389096049000","1717200824519000"
"42392","1277201617341653541875428426545266896","4060741400007923322","Available","B2","1012","1704265998064000","1717203636686000"
"42393","676091677560624785559405726966596994651307","7770000000000115524","Proposed","C2","1013","1553423717519000","1717204024385000"
"42394","19355784143962668328784058103740624301331391298184","4060741400007923322","Available","B2","1013","1632306313733000","1717205727724000"
"42395","3342634029259828412689529588702346486","4060741400396675858","Employed","B2+","4000741400001402404","1550661706613000","1717213627210000"
"42396","273861166981442805246186372798682189017233674392","4060741400007923328","Employed","B1+","4000741400001402384","1515488742813000","1717213672257000"
"42397","873415270058864156341956407883612433","4060741400007923339","Available","C1","1012","1717226662195000","1717226673836000"
"42398","78674020800048187060831902851926484479677","4060741400007923318","Booked","Unspecified","4000741400001402419","1705666943713000","1717227438290000"
"42399","47006450449680956861424952835102969465","4060741400007923316","UnderConsideration","Unspecified","4000741400001402409","1682519651279000","1717239882238000"
"42400","39871683339427802643377016345739554784131","7770000000000116864","UnderConsideration","B1","1013","1712175311289000","1717239894814000"
"42401","49012311692525985546130725643217868069249508144","4060741400007923322","UnderConsideration","Unspecified","1012","1715361731862000","1717239897331000"
"42402","360601917700592974139095011629877665483","4060741400007923316","Available","Unspecified","1013","1715959281329000","1717240008068000"
"42403","35289650883244720593719044917655804313781467","7770000000002524013","Available","B2+","1013","1549107245040000","1717240032847000"
"42404","35289650883244720593719044917655804313781467","7770000000001943902","Available","B2+","1013","1549107245040000","1717240040747000"
"42405","845866844595529055696821981441208293953383","4060741400335399351","Proposed","B2","4060741400010084402","1359542940000000","1717240062818000"
"42406","9281420550787191658133451178179996044","4060741400007923319","Proposed","Unspecified","1013","1515583072807000","1717240203467000"
"42407","7512642278437396235676255276538900102599","4060741400007923323","Available","Unspecified","108","1573814820090000","1717240247682000"
"42408","49779512877386221684566909159353991458486","4060741400321690541","UnderConsideration","B1","1012","1440691020000000","1717240457478000"
"42409","35289650883244720593719044917655804313781467","7770000000001943902","UnderConsideration","B2+","1013","1549107245040000","1717240620637000"
"42410","34546555320114100963047027156592101302636598","4060741400335399351","Onboarding","B2","4060741400010084399","1648706761787000","1717240790569000"
"42411","538879594116594508770906321576642917472167","4060741400009156249","Booked","B1+","1013","1522766947558000","1717240910435000"
"42412","324468333270090955806916253436974911","4060741400007923322","Available","Unspecified","1011","1583746872969000","1717241095123000"
"42413","6171503575000804244656210382784842113","4060741400007923322","Available","A2+","1013","1587371542047000","1717241301329000"
"42414","0765784512954295876612051580304237992524","4060741400007923316","UnderConsideration","Unspecified","1013","1701339537157000","1717241329975000"
"42415","753500534418327470127539333433161980730","4060741400331163531","UnderConsideration","B2","4060741400376470171","1598872106837000","1717241384185000"
"42416","475624965015227833388574229514966","7770000000000116864","UnderConsideration","Unspecified","1012","1669534579204000","1717241501448000"
"42417","0345765976089604887240257864868577838","4060741400328280368","Proposed","Unspecified","1013","1678971712048000","1717241513070000"
"42418","2993523609888709027851227014219738679691831","4060741400007923359","UnderConsideration","Unspecified","1013","1714476133022000","1717241772638000"
"42419","39064882761574738013330849181409052164169822","4060741400335399351","Proposed","B1","4060741400010084401","1716233711156000","1717241864090000"
"42420","92312214326272203863909887580115578285922","7770000000000115522","Proposed","B2","1012","1609747012139000","1717241906492000"
"42421","9888304726093484075173839555204101931041184","120","Available","Unspecified","","1717173308172000","1717242593705000"
"42422","5899138835210185552700598349745952085069864","4060741400347222901","Employed","A2","1012","1598378283706000","1717242897972000"
"42423","5663405051429251547541951577669754366761","4060741400007923380","UnderConsideration","B2","8050000000000001867","1714720780877000","1717243172053000"
"42424","04349685258428696957890914453683840561","4060741400035457637","UnderConsideration","Unspecified","4060741400010084401","1715953091659000","1717243184428000"
"42425","9170164906817773070588179828001615714798","4060741400007923322","UnderConsideration","Unspecified","","1716972012999000","1717243649552000"
"42426","36861235164798654196141647694176008000","4060741400007923359","Proposed","Unspecified","1013","1705393709187000","1717243727970000"
"42427","84157490362796929517033250123015","7770000000000148669","Proposed","Unspecified","4060741400010084400","1699447084369000","1717244239281000"
"42428","74326928183335288538967833477487507806155","4060741400007923380","Proposed","Unspecified","8050000000000001871","1703249787068000","1717244257894000"
"42429","5150957842948763571908450717675365904712067","4060741400037637413","UnderConsideration","Unspecified","","1711130951227000","1717244299577000"
"42430","304274093410841160860474448131004337133100","4060741400009156250","UnderConsideration","Unspecified","4060741400309298941","1712148910624000","1717244301792000"
"42431","7489844925570060544723777500876428664584323554","4060741400007923316","UnderConsideration","Unspecified","","1716390071804000","1717244405057000"
"42432","03934329583799060082196346548768641","7770000000000116065","Available","B1+","1012","1628167460461000","1717244567862000"
"42433","848249010496087049936576124765747911228306019328","4060741400007923323","Available","B1","1011","1613811316805000","1717246394092000"
"42434","04525962215416441109547652403140489138256","120","Available","B2","108","1480687560000000","1717250628593000"
"42435","4304070817159534900103497504883081237815514519","4060741400347222901","Available","Unspecified","","1716980173087000","1717251578046000"
"42436","632261019327476118321668737654133775076","4060741400037637413","UnderConsideration","Unspecified","","1716981793089000","1717253187734000"
"42437","827074511737097954713687239965655420781502","120","Available","Unspecified","","1639574128002000","1717254438230000"
"42438","87653904946160936247964743963835417849139","7770000000000115524","UnderConsideration","Unspecified","","1716986772325000","1717255866503000"
"42439","19969655217854385336976489796303903971","4060741400009156249","UnderConsideration","B1","1013","1644346410231000","1717256402686000"
"42440","74723403710601735580222699795578633214","4060741400007923322","Available","Unspecified","","1717257852078000","1717257852171000"
"42441","960065666618715676970729040421339782028693153953","4060741400007923318","UnderConsideration","Unspecified","4000741400001402419","1649859582103000","1717260204035000"
"42442","92927514947669817708141634748009568898870","4060741400007923323","Available","B1+","1013","1420701120000000","1717261420324000"
"42443","31287976806070548396127595676028534267","4060741400035525271","Available","B2","1012","1423583100000000","1717261436408000"
"42444","711183179436582424003503013234142008355","4060741400007923316","Available","B2","108","1446029580000000","1717261700261000"
"42445","0888033289189681687569736589026510987939174936","4060741400007923322","UnderConsideration","B1","","1453828380000000","1717261859714000"
"42446","214500201564386817612215641658385947623536","4060741400007923316","Available","B1","108","1460931360000000","1717261942955000"
"42447","187835958654657149482148043132858","4060741400007923322","Available","B1+","1012","1543847000168000","1717266100966000"
"42448","958979827213892226087595596151029665984","4060741400007923316","Available","B1","108","1543847507734000","1717266101211000"
"42449","4429246740857284665404625561870454420","4060741400347222901","Available","A2","1012","1553002986802000","1717266536974000"
"42450","6643128628693419156814448239012377992117","4060741400037637413","Available","A2+","4060741400007151446","1554880272837000","1717266608397000"
"42451","9823252541963528017613302714229329450551258","7770000000000116670","UnderConsideration","B2","4060741400034237214","1347960060000000","1717266873738000"
"42452","25971648878620282347834811043552239057459","7770000000000286122","Proposed","Unspecified","4060741400010084400","1715958927374000","1717275099783000"
"42453","1279877284924698530344542711337598101603546","4060741400007923398","UnderConsideration","Unspecified","","1715088612976000","1717278784382000"
"42454","0591878477719724505615085568043800","4060741400007923359","UnderConsideration","Unspecified","","1717014912774000","1717281152662000"
"42455","23855459988665689221112112333166","4060741400007923314","UnderConsideration","Unspecified","4060741400376470169","1671190212110000","1717287467502000"
"42456","7115670624716735932851874329829009666","7770000000000115524","Booked","A2+","1013","1531834908852000","1717288878414000"
"42457","4687382358157749512204641187839179613884629973474","4060741400007923399","Available","Unspecified","4000741400001402419","1668426611225000","1717290058602000"
"42458","8885563708221871612452107699214293237678391909741","4060741400007923316","UnderConsideration","Unspecified","1013","1657531647308000","1717290374029000"
"42459","4382332318635764648972700429387576","4060741400331163529","Available","Unspecified","4060741400376470171","1339088940000000","1717290386874000"
"42460","36737787562949861188795920323135","4060741400007923368","Available","B1","","1594049498059000","1717290856215000"
"42461","89851215509435258633873249667293112188778285","4060741400376069122","Proposed","B2","4000741400001402409","1525780792056000","1717290868121000"
"42462","3011710895045993398651470114164645","4060741400007923323","Available","B2","1013","1536843474305000","1717291427208000"
"42463","2077153286351852468391811532036360194788237","4060741400007923323","Available","Unspecified","1012","1564400548487000","1717291514420000"
"42464","2451927871142018108348698175069731244988","4060741400007923322","Available","Unspecified","","1674125428224000","1717291598908000"
"42465","173045265994159915206809036574559","4060741400009046535","Available","B2","1013","1564910376525000","1717291759578000"
"42466","3342634029259828412689529588702346486","4060741400396675858","Available","B2+","4000741400001402404","1550661706613000","1717291851818000"
"42467","92270637409518122608208919797898806444","4060741400007923323","Employed","Unspecified","1013","1549010470653000","1717299926115000"
"42468","9920524396167971639072544508768403827","4060741400007923322","Available","B1","1013","1549025449577000","1717319052541000"
"42469","569297607156792071251939697600625514628806","7770000000000115522","Available","C2","4000741400001402409","1629892149067000","1717320241827000"
"42470","0745783481537496546245774769548324221177","4060741400007923322","Available","Unspecified","1012","1512133015894000","1717321167275000"
"42471","0058511972306524206297325691008036956","4060741400007923325","Available","Unspecified","4060741400010084400","1615906352403000","1717321953747000"
"42472","21207601178039303285562225818885845","4060741400301159399","Available","Unspecified","4060741400301107717","1706732447141000","1717322659173000"
"42473","77051678615509497139560392666557418617178","4060741400007923322","Available","Unspecified","108","1682361733120000","1717323073468000"
"42474","161560543342326086583549075577268732192","4060741400335399357","Available","Unspecified","4060741400010085672","1706792337164000","1717323344924000"
"42475","21654252695111442737137796916","4060741400007923359","UnderConsideration","Unspecified","1012","1704886924838000","1717323547187000"
"42476","6367529564891386755726232631787559724858","4060741400009046535","Available","Unspecified","1011","1706729531484000","1717323582555000"
"42477","6450840583157451304236920098607129","7770000000000115522","UnderConsideration","C1","1013","1679260151674000","1717323823407000"
"42478","030856272413974595866578683836351271495773","4060741400007923322","Booked","B2+","1012","1645021406803000","1717324092132000"
"42479","40817080867489678735575486926447317634566949610","4060741400007923339","Available","Unspecified","1012","1707773794490000","1717324349142000"
"42480","936553819497415087565589156251113339850988804","4060741400007923339","Available","Unspecified","1012","1707160509850000","1717324928393000"
"42481","24944200895572183175313351500556909","4060741400007923359","Available","Unspecified","","1665327491976000","1717325585369000"
"42482","426158498302091585415618584816510782114980","4060741400009156250","UnderConsideration","Unspecified","","1701623707803000","1717325804104000"
"42483","64620458390004574394597163092810","4060741400007923380","Proposed","Unspecified","8050000000000001871","1704753550535000","1717325850416000"
"42484","283973383185350772457309540255673732","4060741400007923316","UnderConsideration","Unspecified","1013","1704281253459000","1717326646516000"
"42485","32310141366880512725094531122053208017","4060741400007923359","UnderConsideration","Unspecified","1012","1708939555178000","1717326863693000"
"42486","6669324205105138364703610708690981798755","4060741400007923319","Proposed","B1+","1013","1515147328218000","1717327517898000"
"42487","5131431588868057859846735089878309844","4060741400007923316","Available","B1","1012","1605273431288000","1717328260806000"
"42488","812330955879015755782347782764878442784","4060741400007923367","Available","Unspecified","","1717328291990000","1717328292098000"
"42489","538802289962511982868196385439212","4060741400375569062","UnderConsideration","B2","1013","1560765766052000","1717328408880000"
"42490","838725868719680711830611843225877344004384","4060741400007923318","UnderConsideration","C2","4000741400001402419","1600689064173000","1717328965134000"
"42491","92427582253990896465117282225369304526","7770000000002524013","UnderConsideration","Unspecified","1012","1716191842029000","1717329666425000"
"42492","647867606297083327131292420699483003810","4060741400035457637","UnderConsideration","Unspecified","4060741400007382360","1640023505919000","1717330092190000"
"42493","937206410159024546766788716671165563784533","4060741400007923322","Available","A2","1012","1445532780000000","1717330388620000"
"42494","421609966463161166032739400072592374007","4060741400007923359","UnderConsideration","B2","1013","1557311838757000","1717330550778000"
"42495","886455771679961740456541518225174784","4060741400375569062","UnderConsideration","B2+","1012","1580740969813000","1717331421681000"
"42496","7338209550479132914842037472257144399947740","4060741400007923328","Proposed","Unspecified","4000741400001402384","1661512122507000","1717331829373000"
"42497","0307961625875258138555691256298823363146280","4060741400375569062","UnderConsideration","Unspecified","1012","1608034369717000","1717331957474000"
"42498","341147710956016923497862817261843504","4060741400007923398","Proposed","Unspecified","8050000000000001869","1654528384271000","1717332026445000"
"42499","6470284921141270350803442558799332376","4060741400037637413","UnderConsideration","B2","4060741400007151463","1609152068587000","1717332434661000"
"42500","01033245492614207411495176727739338472275","4060741400007923359","UnderConsideration","Unspecified","1012","1592836571952000","1717332521517000"
"42501","3321177265564371839271632148720909688","4060741400335399351","Onboarding","B1","4060741400010084400","1609082410618000","1717332896961000"
"42502","2404487591608903930415270246166132816158","4060741400331163531","UnderConsideration","Unspecified","4060741400376470171","1608650287453000","1717332984764000"
"42503","1177495272709277094413061626567583632","4060741400007923322","Available","Unspecified","1012","1609828986395000","1717332987525000"
"42504","63622607958369368443486198714472","4060741400007923323","UnderConsideration","Unspecified","1013","1664235191256000","1717333248995000"
"42505","2785836918303239919835924428813132473041","4060741400007923316","Available","B2","","1697804686916000","1717334416067000"
