"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"27938","58699248663897176842141443555635607034","4060741400335399351","Available","B2","4060741400010084400","1606996858933000","1706751123210000"
"27939","4755851609234852050320260566621764482253","7770000000000115522","Available","Unspecified","1013","1678812437507000","1706751462614000"
"27940","41584796508542419096347702074791644850288846","7770000000000115522","Available","Unspecified","4000741400001402409","1685025948820000","1706751519170000"
"27941","055440030295798431918662203520493358303","4060741400007923322","UnderConsideration","Unspecified","1012","1704891278132000","1706755231047000"
"27942","7360583490543360178522404504255958155","4060741400007923328","Employed","Unspecified","4000741400001402403","1689151049621000","1706759245845000"
"27943","2523844328542912718540970335598920427369134","7770000000000131092","UnderConsideration","B1","108","1686761856708000","1706772609883000"
"27944","48289448350487621362551240252147504978","120","Available","B1","","1470151560000000","1706773834132000"
"27945","48289448350487621362551240252147504978","120","UnderConsideration","B1","","1470151560000000","1706773835725000"
"27946","652382504909758942292643586363786288801131","4060741400403479618","Available","Unspecified","","1706702993297000","1706774882819000"
"27947","41447279762494590241148066903774344787444","7770000000000169925","Available","Unspecified","","1706775250845000","1706775251175000"
"27948","6326006013104362397546040732218515533097650","4060741400378875260","Available","Unspecified","","1705999419340000","1706775680441000"
"27949","9312034728785598133617805061526062674994547","7770000000000116063","Proposed","Unspecified","4000741400001402409","1684231453190000","1706776286603000"
"27950","7195013873669645769999713328736689571302688","4060741400007923377","UnderConsideration","B2","4060741400309298943","1680183911331000","1706776354322000"
"27951","801732403012700226101629773304056358672","4060741400335399351","UnderConsideration","Unspecified","4060741400010084400","1705958231374000","1706776497970000"
"27952","534527877746413021757302595445193852560468","4060741400007923349","UnderConsideration","A2","4060741400010084400","1353573960000000","1706776527374000"
"27953","044948368610731054751375436835479247162014","4060741400007923323","Available","Unspecified","","1665766546506000","1706776593161000"
"27954","8304495700807654547922824407280769055","4060741400007923319","UnderConsideration","B2","1012","1440403620000000","1706776687571000"
"27955","246309047468771863649283143967082","4060741400007923322","UnderConsideration","A2","1013","1359537420000000","1706776814364000"
"27956","5585712783309357328249966848940376554","4060741400007923322","UnderConsideration","B2+","4000741400001402409","1588670934655000","1706777068596000"
"27957","38898372660965509922876078582904072999013","4060741400007923398","UnderConsideration","Unspecified","1013","1669987379430000","1706777143388000"
"27958","120951927495962058558778076961156224","4060741400378686793","UnderConsideration","Unspecified","4060741400007151463","1706610856563000","1706777286958000"
"27959","99932851091277171686988602898314864205384","4060741400335399357","Proposed","Unspecified","4060741400010085672","1704198593364000","1706777591367000"
"27960","0071829063073430947548157763370256113","4060741400358394831","UnderConsideration","Unspecified","4060741400007382361","1705580289401000","1706777605117000"
"27961","5140313107205099819954918100036675399","4060741400007923316","Proposed","B2","1013","1462875249701000","1706777696583000"
"27962","9976074131741637508421701592766132285771532","7770000000000115524","Proposed","B2","4060741400029899545","1656088630837000","1706777765130000"
"27963","490578605489213372035580206548250563","4060741400335399356","Available","B1+","108","1527755958702000","1706777809149000"
"27964","4874425459769911870499075959897518685779078","4060741400007923359","UnderConsideration","Unspecified","1012","1704889194279000","1706777858385000"
"27965","242294958979739890005420031872130","4060741400007923344","Available","Unspecified","","1706777890522000","1706777890820000"
"27966","94605128004265142388381829682221733372","7770000000000115522","UnderConsideration","Unspecified","4000741400001402409","1664646615598000","1706777976393000"
"27967","1636348247841852170038503225108916678465","4060741400009046535","Available","Unspecified","","1682091373106000","1706778049273000"
"27968","17753584542834820740893595843022037084422","4060741400009046535","UnderConsideration","Unspecified","","1706718850665000","1706778179527000"
"27969","205304639744675120430052768865857280442828676","4060741400375569062","Onboarding","B1","4000741400001402409","1348152240000000","1706778194233000"
"27970","68644658720764710948282032899866564264451","4060741400007923359","UnderConsideration","Unspecified","1011","1621350948617000","1706778245511000"
"27971","6367529564891386755726232631787559724858","4060741400009046535","Available","Unspecified","","1706729531484000","1706778390348000"
"27972","2912282416735524957838348364699132348","4060741400007923325","Proposed","Unspecified","4060741400010084400","1680262155949000","1706778418794000"
"27973","025978902537677856648085127333615066","7770000000000115522","Proposed","Unspecified","1012","1705063691302000","1706778450799000"
"27974","70070248203234823874595361839893667667755","4060741400378686793","UnderConsideration","Unspecified","4060741400007151466","1706088562805000","1706778457992000"
"27975","1949715308360890761042568128409978265475","4060741400007923409","Available","C1","4060741400376470171","1706285428574000","1706778462705000"
"27976","3734207581472945501638074703462341151","4060741400007923339","Available","Unspecified","","1706730371563000","1706778672291000"
"27977","992359200708057100721834607361860871","4060741400393388454","UnderConsideration","Unspecified","1013","1691680839902000","1706778697342000"
"27978","0532266183749946371684591209285551697128461","7770000000000169925","UnderConsideration","Unspecified","","1706705772096000","1706778831494000"
"27979","602159046405737108596121469541529453811395844","4060741400007923339","UnderConsideration","Unspecified","1012","1706552112715000","1706778939969000"
"27980","98785311214709010315134386075244329942707","4060741400007923318","UnderConsideration","Unspecified","","1705672377651000","1706779008422000"
"27981","295389815242412113016792550568007881090284","4060741400037637413","UnderConsideration","Unspecified","","1627490981411000","1706779189436000"
"27982","525555176872815215618250654378066624900418","4060741400007923322","UnderConsideration","Unspecified","","1500646031528000","1706779220727000"
"27983","770514625047755663600375919275115414416727","4060741400007923339","Available","Unspecified","4060741400029899545","1684764991646000","1706779305835000"
"27984","835295841199022258144340287724747428557912","4060741400037637413","UnderConsideration","Unspecified","4060741400007151463","1704726323946000","1706779403538000"
"27985","8861255028593581059553072515996","7770000000000180881","UnderConsideration","Unspecified","1013","1705660771864000","1706779781177000"
"27986","20379482808258454086684088027691638","120","Available","Unspecified","","1706694016821000","1706780464569000"
"27987","55642158813139433418289950111881672265155398","4060741400007923354","UnderConsideration","B1","","1470336780000000","1706780734690000"
"27988","205830372860653550333479411945117857561830","4060741400007923316","Available","B1","1013","1706781039119000","1706781039710000"
"27989","779174627691833542439420275974109068343","7770000000000115522","UnderConsideration","Unspecified","","1697184172788000","1706782184173000"
"27990","205830372860653550333479411945117857561830","4060741400007923316","UnderConsideration","B1","1013","1706781039119000","1706782440422000"
"27991","10405350079402030041504152191276531406","4060741400007923377","Available","Unspecified","","1706782486554000","1706782486819000"
"27992","10405350079402030041504152191276531406","4060741400007923377","UnderConsideration","Unspecified","","1706782486554000","1706782488623000"
"27993","691060890523902615482962271524701","4060741400007923377","Available","Unspecified","","1679319957396000","1706782524628000"
"27994","11806948979119657330228601437707719","4060741400007923359","Available","Unspecified","1013","1697477454111000","1706782606895000"
"27995","75520874780908897837194947999704444743","4060741400007923316","Available","Unspecified","1013","1706782891582000","1706782891797000"
"27996","453506894020628110038452028004653811480","4060741400007923344","Proposed","Unspecified","1013","1669728838047000","1706783349580000"
"27997","14595514328578125086620194224498857716059708860","7770000000000115524","UnderConsideration","C1","1013","1311953280000000","1706783564020000"
"27998","431693739924802226364306764824871814416181","7770000000000115522","UnderConsideration","Unspecified","1013","1684387812892000","1706784002250000"
"27999","75520874780908897837194947999704444743","4060741400007923316","UnderConsideration","Unspecified","1013","1706782891582000","1706785127197000"
"28000","6388824975421046882587737135870078173","4060741400007931773","Employed","Unspecified","4060741400006707511","1693819988468000","1706785773507000"
"28001","765644298768364088403660325650767446533","4060741400007923380","Available","A2+","4060741400309298942","1448263260000000","1706786292524000"
"28002","87156960469146652758131536942932773","4060741400007923316","Available","Unspecified","1013","1638180129583000","1706786455329000"
"28003","3604944429515914139146999582467744723677294","4060741400007923322","UnderConsideration","B2","1011","1615278411803000","1706786622759000"
"28004","87156960469146652758131536942932773","4060741400007923316","Available","B2","1013","1638180129583000","1706786731710000"
"28005","31129119721359356567920549738851728496","4060741400335399351","UnderConsideration","Unspecified","","1706622493289000","1706787039313000"
"28006","77463200240509816610311738705752","120","Available","Unspecified","","1685720755229000","1706787386835000"
"28007","77463200240509816610311738705752","120","UnderConsideration","Unspecified","","1685720755229000","1706787387414000"
"28008","690717946925974927701332013511009107525667121","7770000000000115522","Available","Unspecified","","1620812909039000","1706787544791000"
"28009","03720395470701359556819167878756029","4060741400007923323","UnderConsideration","Unspecified","","1706691251468000","1706787698955000"
"28010","005766599154973300370722300923939769934922","4060741400007923323","UnderConsideration","Unspecified","","1706708791995000","1706788442511000"
"28011","88568603850676546265926272103917483","4060741400007923359","UnderConsideration","Unspecified","","1705699570866000","1706789485316000"
"28012","31586220009075245269862544989712448","4060741400007923415","UnderConsideration","Unspecified","1013","1678450892864000","1706790026363000"
