"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"40680","5777662652724982620594103030150173851069867","7770000000000292643","Available","Unspecified","4060741400311610516","1712647265283000","1716152416678000"
"40681","9051311824561693454852828328405856860866074834","7770000000000116864","Available","Unspecified","108","1664269206575000","1716154705665000"
"40682","098041011958805100111538645072950891993457","4060741400412060820","UnderConsideration","Unspecified","","1713173750137000","1716154727897000"
"40683","160985810669513383466312516342416641823516","4060741400007923322","Available","Unspecified","1012","1437407520000000","1716155402134000"
"40684","9484977905404227952584997725795426048001","4060741400007923316","UnderConsideration","B2","1012","1689778272055000","1716166847133000"
"40685","7434135444883672169520223732185462423006500","4060741400375569062","UnderConsideration","B1","4000741400001402409","1360579140000000","1716166982844000"
"40686","4023790631292802383635996115227419216126479","4060741400007923398","Available","Unspecified","","1699349083249000","1716167024854000"
"40687","1988182598377761945941062444298336073128194","4060741400412060820","Proposed","B2","1013","1659516784785000","1716167374096000"
"40688","3227117578910314205057900599253684061968519","4060741400007923316","UnderConsideration","B1+","1013","1496208923740000","1716167465470000"
"40689","393911847156470649901776301496539647891041422","4060741400049417778","UnderConsideration","B2","4060741400007151466","1574111286596000","1716168075944000"
"40690","2743600163636401885984815218456823738172","4060741400335399351","Available","Unspecified","","1716170021763000","1716170021895000"
