"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"31473","461655196163481688159563997911655640306","4060741400007923339","UnderConsideration","Unspecified","1012","1707173413336000","1709254830482000"
"31474","7250899713923063047642308986260068379362166","4060741400007923322","Available","B1","1013","1442560140000000","1709255112330000"
"31475","6186976257408535219086554260969447348943693","4060741400051296606","Available","Unspecified","8050000000000001652","1709259084892000","1709259085090000"
"31476","838725868719680711830611843225877344004384","4060741400007923318","UnderConsideration","C2","4000741400001402404","1600689064173000","1709259563125000"
"31477","838725868719680711830611843225877344004384","4060741400007923318","UnderConsideration","C2","4000741400001402419","1600689064173000","1709259564937000"
"31478","70070248203234823874595361839893667667755","4060741400378686793","UnderConsideration","Unspecified","4060741400007151463","1706088562805000","1709265722432000"
"31479","032960466765776025173860640265863161","4060741400335399351","UnderConsideration","A1","4060741400010084399","1708677826994000","1709272802531000"
"31480","178952940405508645360822852121634712687673305","7770000000000115522","Booked","Unspecified","4000741400001402409","1707323111423000","1709275073640000"
"31481","6186976257408535219086554260969447348943693","4060741400051296606","UnderConsideration","Unspecified","8050000000000001652","1709259084892000","1709276275244000"
"31482","724322204644647640983535972203476939709335158995","4060741400037637413","Available","Unspecified","","1709276413925000","1709276414251000"
"31483","272097252810368422867532095652822819","4060741400403479618","Booked","Unspecified","4060741400309298943","1706795580935000","1709278779729000"
"31484","355748308013621204695740485802813778877","4060741400335399351","Available","Unspecified","","1709278813615000","1709278813891000"
"31485","827250171375705360461330074136568","4060741400009156250","Proposed","Unspecified","","1701341179216000","1709279775228000"
"31486","28433851199423176807184733122536694769189529774468","4060741400007923316","Available","Unspecified","1012","1660013573533000","1709280168688000"
"31487","28433851199423176807184733122536694769189529774468","4060741400007923316","UnderConsideration","Unspecified","1012","1660013573533000","1709280404501000"
"31488","0839357314131156114243696922858402497","4060741400007923399","Available","B1+","108","1658848210996000","1709281749135000"
"31489","49364906501681159465299208216295347","4060741400035457637","Available","Unspecified","4060741400010084401","1662560265599000","1709282188668000"
"31490","79069669292547154635362765658102383336","7770000000000116064","Available","Unspecified","","1709282316511000","1709282316681000"
"31491","2588442446861636469201075287185549063218","4060741400007923380","Available","Unspecified","","1676376481049000","1709283497252000"
"31492","272097252810368422867532095652822819","4060741400403479618","Onboarding","Unspecified","4060741400309298943","1706795580935000","1709284816174000"
"31493","76968466377236481217347368660720652654224","7770000000000116067","UnderConsideration","Unspecified","4060741400005179325","1667820624071000","1709284852384000"
"31494","355748308013621204695740485802813778877","4060741400335399351","UnderConsideration","Unspecified","","1709278813615000","1709285378422000"
"31495","697299541439052473885327840606275826995673153343","4060741400009156250","UnderConsideration","Unspecified","4060741400309298943","1708362008921000","1709285675912000"
"31496","97616082562262645324067556589419773602816","7770000000000116063","UnderConsideration","C2","4000741400001402409","1701682664927000","1709285945307000"
"31497","15466302154853237811755189004363823846432","4060741400358394831","UnderConsideration","C1","4060741400007382361","1627371787634000","1709286959314000"
"31498","89888593988608056895013298632359386641612","4060741400403479618","UnderConsideration","Unspecified","1011","1708419310490000","1709287039435000"
"31499","545175308512071795060306526367300213587794","4060741400007923344","UnderConsideration","Native","1013","1463161920000000","1709287121538000"
"31500","292674424341146779352140346687671762","4060741400007923316","UnderConsideration","B1","","1708571675636000","1709287207620000"
"31501","965227829777846243705367553116041699","4060741400335399351","Booked","Unspecified","4060741400010084399","1653617630116000","1709287563346000"
"31502","1465630111167790176999909162912750664762","4060741400378686793","UnderConsideration","Unspecified","1012","1622702447025000","1709287642778000"
"31503","194648405597391603752916259046901057296","4060741400335399351","Proposed","B2","4060741400010084400","1664380105246000","1709287707248000"
"31504","75733083315403060036356822762659121547092392","7770000000000115522","UnderConsideration","B2","","1709214796552000","1709287898176000"
"31505","798123884022834381269549779050930638360","7770000000000277669","UnderConsideration","Unspecified","","1709215299211000","1709288216074000"
"31506","49361460430415950828897120672775740","4060741400335399351","UnderConsideration","B2","","1662498350789000","1709288289873000"
"31507","93752728860609036096682709719306717769947","4060741400007923322","Proposed","Unspecified","1013","1689847621080000","1709288424267000"
"31508","74949338134784908443009426143026708715712","7770000000000116067","Available","Unspecified","","1709288471177000","1709288471342000"
"31509","92494717819913891724244370742354058649114","4060741400007923349","UnderConsideration","Unspecified","4060741400005179325","1658142494694000","1709288514461000"
"31510","5564302846306330589463096919817601997805740","4060741400007923318","UnderConsideration","Unspecified","4000741400001402419","1693345819286000","1709288586488000"
"31511","265035960939501316495862515972558326","4060741400007923415","Booked","Unspecified","1012","1701863050336000","1709288620593000"
"31512","530779059146790149928427172583975057860025828","4060741400007923349","Proposed","Unspecified","4060741400010084399","1706605691476000","1709288651658000"
"31513","7115670624716735932851874329829009666","7770000000000115522","UnderConsideration","A2+","108","1531834908852000","1709288760294000"
