"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"78121","7548966337971572887310325034898467859988","4060741400007923349","UnderConsideration","Unspecified","4060741400010084399","1733407814501000","1735694231627000"
"78122","3729001614567562521677403938794589478920368","4060741400335399351","Available","Unspecified","4060741400010084400","1615814963423000","1735694773822000"
"78123","7445291325202063913104361878185323461","4060741400301159399","Available","Unspecified","4060741400301107716","1706278650133000","1735694901050000"
"78124","50622802324229472178786021934414964","4060741400007923323","Available","Unspecified","1013","1733757059131000","1735695586072000"
"78125","2155500330379328483150943022825244272040603805","4060741400007923323","Employed","Unspecified","1013","1707293711350000","1735703183461000"
"78126","17963341590923610890512049396290077","4060741400007923353","Employed","Unspecified","4000741400001402409","1720004453113000","1735704068177000"
"78127","8447716973312820013206874700087111342923139564","4060741400007923339","UnderConsideration","Unspecified","1013","1728291905596000","1735711532527000"
"78128","4530299722896903032869096798645297781563828714685","4060741400007923318","Employed","C1","4000741400001402408","1711541576623000","1735713868504000"
"78129","49361460430415950828897120672775740","7770000000000286122","Employed","B2","1013","1662498350789000","1735720586545000"
"78130","812093834238116772903604751532147236162","7770000000000115522","Available","Unspecified","1013","1732645724396000","1735726809606000"
"78131","3011111575495521902039273976679968974","4060741400335399351","Available","C1","4060741400010084400","1720586104812000","1735726998811000"
"78132","023702887906916793671461524382768503869557","4060741400007923322","Employed","A1+","1012","1728646480064000","1735728217773000"
"78133","873415270058864156341956407883612433","4060741400007923339","Available","B2","1011","1717226662195000","1735728447505000"
"78134","564845904186645382842070282612569423","4060741400007923316","UnderConsideration","C2","1012","1717498751730000","1735728935600000"
"78135","530199251137458829122879286646532115","7770000000002201479","Available","Unspecified","8050000000000001652","1637535248670000","1735729043391000"
"78136","3684005517167302584192180740157657169620163","7770000000002480250","UnderConsideration","Unspecified","4060741400010084401","1688133009945000","1735730081034000"
