"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"50322","1307159436728830351617312783125445717514732","7770000000000115522","UnderConsideration","B2","4000741400001402409","1717619965301000","1722471727588000"
"50323","94444870488542859536990171715574797337","7770000000002738079","UnderConsideration","Unspecified","4060741400376470170","1689676559764000","1722471855925000"
"50324","763421758796021772684752113032662396774","4060741400037639173","Available","Unspecified","1013","1722472035788000","1722472035948000"
"50325","707137185021013893233076500728","4060741400007923322","UnderConsideration","Unspecified","1012","1717693271853000","1722472057101000"
"50326","96191764340398056043242454214171466473","4060741400007923323","Available","Unspecified","4000741400001402409","1647353635789000","1722474235237000"
"50327","4479175927471979086822033312052439515","4060741400378686793","Proposed","Unspecified","4060741400007151466","1719838068723000","1722474253034000"
"50328","48485291757811224830389802039235153","4060741400037637413","UnderConsideration","Unspecified","4060741400007151466","1718715159662000","1722474310238000"
"50329","393119438366907727831261524425968351586921","4060741400007923316","UnderConsideration","Unspecified","1013","1706712883054000","1722474667000000"
"50330","4583873388410760087489956914048163767448","4060741400383094599","Available","C1","4060741400376470171","1696600191833000","1722475038864000"
"50331","4583873388410760087489956914048163767448","4060741400383094599","UnderConsideration","C1","4060741400376470171","1696600191833000","1722476209842000"
"50332","4756833749293070466791664136663339334729","4060741400375569062","Employed","Unspecified","1013","1631801197630000","1722477253904000"
"50333","4890232345734109168021971099692869553026","4060741400007923322","Available","Unspecified","1011","1672908806778000","1722480188476000"
"50334","4890232345734109168021971099692869553026","4060741400007923322","UnderConsideration","Unspecified","1011","1672908806778000","1722480212186000"
"50335","64421781346872874079323300826641650114398","4060741400007923316","Available","Unspecified","","1722480672204000","1722480672307000"
"50336","99560884538262873698490181081502286","4060741400007923322","Available","Unspecified","","1722481090116000","1722481090264000"
"50337","99560884538262873698490181081502286","4060741400007923322","UnderConsideration","Unspecified","","1722481090116000","1722481115384000"
"50338","8406111233919018961381295393288263668124","4060741400007923316","Proposed","B2","4000741400001402409","1721723706408000","1722483036548000"
"50339","994731287358126681375181478246465643506810","4060741400044112185","Available","Unspecified","","1722285312124000","1722487691474000"
"50340","994731287358126681375181478246465643506810","4060741400044112185","UnderConsideration","Unspecified","","1722285312124000","1722487700962000"
"50341","801946151258398500451534814933205708775","4060741400007923322","Onboarding","Unspecified","1013","1409155020000000","1722490787794000"
"50342","45725240610726630454977995024412918120","4060741400007923322","Available","Unspecified","1012","1722492485749000","1722492485959000"
"50343","84636511663752395725556854638109408881660","4060741400034944001","Proposed","Native","4060741400034237214","1708099570772000","1722492738383000"
"50344","7190047940555921388977987912937","7770000000000115524","Employed","Unspecified","1013","1559823828455000","1722492798422000"
"50345","9474228363742722319984085421497316759290","4060741400335399351","UnderConsideration","Unspecified","4060741400010084399","1720719732769000","1722493811715000"
"50346","122325265945580859644478861284711606587049","7770000000002423827","Proposed","Unspecified","4060741400376470170","1719565151781000","1722494597546000"
"50347","925337313914305275336928892465572","4060741400335399351","UnderConsideration","Unspecified","4060741400010084401","1648653881591000","1722494644482000"
"50348","008898977482542926373022504149330990646","4060741400007923322","UnderConsideration","A2+","1012","1721727627266000","1722495415423000"
"50349","45725240610726630454977995024412918120","4060741400007923322","UnderConsideration","Unspecified","1012","1722492485749000","1722495969234000"
"50350","611778541251688177990566928601911835999063269","4060741400007923316","UnderConsideration","Unspecified","1013","1709722217558000","1722496010879000"
"50351","0865258042727188150936907949084747795350159","4060741400007923322","UnderConsideration","B2+","1013","1547467496727000","1722497157635000"
"50352","7315892076398689321683671577554","4060741400331163531","UnderConsideration","B2","4060741400376470170","1605276966239000","1722497511433000"
"50353","513129790745642339040156841743182443","120","Available","Unspecified","","1722437432249000","1722498750470000"
"50354","9395074350377054258297811007248725696838","4060741400007923361","UnderConsideration","Unspecified","4060741400007151446","1662063911015000","1722498797077000"
"50355","513129790745642339040156841743182443","4060741400007923314","Available","Unspecified","","1722437432249000","1722498882096000"
"50356","3092133738539007583980516935511142595","4060741400007923359","UnderConsideration","Unspecified","1013","1708939552272000","1722499007364000"
"50357","77075959948973061148651052707609791963","4060741400007923318","UnderConsideration","Unspecified","4000741400001402408","1681315348521000","1722499248831000"
"50358","640681209788524804825032574718582987","4060741400007923323","Available","Unspecified","","1573111890915000","1722499914539000"
"50359","3792659298960260745015366009938914036337","4060741400007923323","Proposed","B1","1013","1517149504343000","1722500967873000"
"50360","444290604329913449770283456936972006406100","4060741400335399351","UnderConsideration","Unspecified","4060741400010084400","1719576573316000","1722501648915000"
"50361","79885050517228937100314781928817978803","4060741400007923316","UnderConsideration","Unspecified","1013","1721763309890000","1722502330568000"
"50362","28589976227351594530002914991339210455256673769","7770000000000131092","UnderConsideration","Unspecified","","1721984052159000","1722502374595000"
"50363","99560884538262873698490181081502286","4060741400007923322","UnderConsideration","A2","","1722481090116000","1722502654469000"
"50364","700016454024657923288976791854233450791","4060741400007923316","UnderConsideration","Unspecified","","1722006716816000","1722503866085000"
"50365","169456668408555978304117211047233518816878425","4060741400007923409","UnderConsideration","B1","4060741400376470171","1376470860000000","1722504392194000"
"50366","07698176020254154903096647025489050485270840","4060741400037637413","UnderConsideration","Unspecified","4060741400007151446","1721738106616000","1722504393783000"
"50367","82108173716504326224416264119591043641174535","4060741400378686797","UnderConsideration","Unspecified","","1712924134640000","1722504999917000"
"50368","783228101957590811533203952028","7770000000000115522","Proposed","Unspecified","1013","1682438565467000","1722505153382000"
"50369","9406391209746075575851937299769346845824209","4060741400007923358","UnderConsideration","Unspecified","1013","1686754889071000","1722505347075000"
"50370","075310705931334605494251676764287702046919272","4060741400007923322","UnderConsideration","Unspecified","1012","1718638022989000","1722505405061000"
"50371","1686871345111990285430721767437297920461","4060741400007923359","UnderConsideration","Unspecified","4000741400001402409","1720431545959000","1722505429388000"
"50372","2608551227841686579577692029146746551785523203200","4060741400007923316","Proposed","B2","4000741400001402409","1707912122782000","1722505582305000"
"50373","06732446126606292116430869482853880184805521367","4060741400007923322","Available","Unspecified","","1649641495504000","1722505949421000"
"50374","41029828292413790915371292328749220594341391781","7770000000000115524","UnderConsideration","Unspecified","1013","1721197212952000","1722506176404000"
"50375","914800108243896090653616586920673187054","4060741400007923322","UnderConsideration","Unspecified","","1722248995392000","1722507323284000"
"50376","68275859567730256476751649402024356280345523","7770000000000115524","UnderConsideration","Unspecified","1012","1675851549988000","1722507527947000"
"50377","7634479758710432035352307725881570370159909934","4060741400007931772","UnderConsideration","Unspecified","1013","1719390409758000","1722507720776000"
"50378","68935226296741108543572450780128886862302","7770000000000116438","UnderConsideration","Unspecified","4000741400001402409","1721050236110000","1722508496181000"
"50379","56440060590304893031642982965855464174232","4060741400007923354","UnderConsideration","B1+","4060741400010084399","1560850370524000","1722508635769000"
"50380","7173543788897551208583374669184380573695367","4060741400007923323","Available","Unspecified","","1722509286316000","1722509286441000"
"50381","0865532811512908837642427883782145966936112","4060741400338461277","UnderConsideration","Unspecified","4060741400005179325","1677240571532000","1722509595243000"
"50382","450862407039575816401614179559402472479575","4060741400007923322","UnderConsideration","Unspecified","","1722348265287000","1722510578431000"
"50383","689535939683822376844748094679259545912879","4060741400007923366","UnderConsideration","Unspecified","1012","1659431997575000","1722510604690000"
"50384","26841737479029348390743883325437200714545","4060741400007923349","Proposed","B2+","4060741400010084401","1599560809996000","1722510661708000"
"50385","0176309238662963214932145115685531605","4060741400335399351","Available","Unspecified","","1669611097203000","1722510812905000"
"50386","47158328190348711052719749871477041410308615760","4060741400007923318","Proposed","Unspecified","4000741400001402386","1601898124210000","1722511041269000"
"50387","4021072574644948281093072652857348","4060741400335399351","Available","Unspecified","","1722511452164000","1722511452338000"
"50388","2265354794960430626561320217305748794291","7770000000000116670","UnderConsideration","Unspecified","4060741400034237214","1721285233472000","1722511843263000"
"50389","429338270005289104810781039339485845660499130","4060741400007923322","UnderConsideration","Unspecified","","1666688851623000","1722511986093000"
"50390","3289687461056930833297063875636638241006215","7770000000000115524","Available","C1","1012","1621515850391000","1722512870143000"
"50391","5547924271965091436315490893191613102654","4060741400037637413","Available","Unspecified","","1678710214912000","1722513366273000"
"50392","5807355652628150803679923377488517838640","7770000000000115522","Booked","Unspecified","4000741400001402409","1720435534323000","1722513476704000"
"50393","45766959462500296238578514743170559958400","4060741400007923358","Proposed","Unspecified","1013","1671022899863000","1722513781022000"
