"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"1","164399266013406704128725335733077993077394112","4060741400007923318","Available","C1","4000741400001402419","1308585420000000","1308585420000000"
"2","07298385337478301236318883376091584350941","120","Available","Unspecified","","1314257640000000","1314257641000000"
"3","848244733235397146159249030647631972913017229","4060741400007923322","Available","Unspecified","1013","1317117240000000","1317117240000000"
"4","279083703165058654197888254333949983442","4060741400007923409","Available","Unspecified","","1320089760000000","1320093361000000"
"5","2026661172541179492240149002071893685625","120","Available","B1","4000741400001402384","1320147360000000","1320152161000000"
"6","577552528218479734812113714503456065766944310","120","Available","Unspecified","","1320745800000000","1320745921000000"
"7","099559246690308471524525604911503905388","4060741400007923412","Available","B2","4000741400001402413","1320752280000000","1320756061000000"
"8","567911289277774411476032022325412680364","4060741400007923415","Available","B2","4000741400001402420","1321882440000000","1321882561000000"
"9","28008498641999744401365978325585610640","4060741400007923412","Available","B1","4000741400001402413","1322820840000000","1322820841000000"
"10","913528017780052876561039188391287043597","120","Available","Unspecified","","1323168900000000","1323168901000000"
"11","7920707752033365634389863532368569354586","120","Available","B1","4000741400001402377","1323681900000000","1323682081000000"
"12","567911289277774411476032022325412680364","4060741400007923415","UnderConsideration","B2","4000741400001402420","1321882440000000","1324284841000000"
"13","5974077675405847472926175991490296148172723","4060741400007923322","UnderConsideration","C1","1013","1324987020000000","1327622400000000"
"14","577552528218479734812113714503456065766944310","120","UnderConsideration","Unspecified","","1320745800000000","1328027041000000"
"15","50193991791248982445699023562972327049376","120","Available","Unspecified","","1328610420000000","1328610541000000"
"16","1169585254682844632035649480027308862544229","120","UnderConsideration","B2","1013","1328869860000000","1328869861000000"
"17","577552528218479734812113714503456065766944310","120","Available","Unspecified","","1320745800000000","1329177600000000"
"18","87732462613535960239746945747030647371585","4060741400007923415","Available","A2","1012","1330440720000000","1330440721000000"
"19","848244733235397146159249030647631972913017229","4060741400007923322","UnderConsideration","Unspecified","1013","1317117240000000","1331627881000000"
"20","61903976734989708292650745584067028825","120","Available","Unspecified","","1331886960000000","1331890681000000"
"21","1169585254682844632035649480027308862544229","120","Available","B2","1013","1328869860000000","1332201600000000"
"22","7734205005333524928781878547193943191400414","120","UnderConsideration","Unspecified","4060741400008129597","1332332640000000","1332332761000000"
"23","1829871843069370287041835594600071152","120","Available","Unspecified","","1332196020000000","1332771841000000"
"24","5456753350729629466009045265223415406322846","4060741400007923344","UnderConsideration","B1","1012","1334591040000000","1334646661000000"
"25","7734205005333524928781878547193943191400414","120","Available","Unspecified","4060741400008129597","1332332640000000","1334758800000000"
"26","649327499135811704243501047817589254","4060741400007923322","Available","Unspecified","","1333973760000000","1335173881000000"
"27","5456753350729629466009045265223415406322846","4060741400007923344","Available","B1","1012","1334591040000000","1336162140000000"
"28","839712084051991870975929089821","4060741400007923409","UnderConsideration","B2+","","1336471440000000","1336471441000000"
"29","176164855838700663411705797482569684891","120","Available","Unspecified","","1335187560000000","1338389521000000"
"30","4382332318635764648972700429387576","120","UnderConsideration","Unspecified","","1339088940000000","1339088940000000"
"31","4382332318635764648972700429387576","120","Available","Unspecified","","1339088940000000","1342124820000000"
"32","278878356350807794324694718413545528225673420","120","Available","A2","1012","1342180440000000","1342428601000000"
"33","7639314501301923126807626623095217474579375511","4060741400007923322","UnderConsideration","B1","1013","1343288340000000","1343301361000000"
"34","197885220944526808328202704228551931682","120","Available","B2","1012","1343393100000000","1343394061000000"
"35","197885220944526808328202704228551931682","120","UnderConsideration","B2","1012","1343393100000000","1343407381000000"
"36","4382332318635764648972700429387576","120","UnderConsideration","Unspecified","","1339088940000000","1343916121000000"
"37","848244733235397146159249030647631972913017229","4060741400007923322","Available","Unspecified","1013","1317117240000000","1344370380000000"
"38","197885220944526808328202704228551931682","120","Available","B2","1012","1343393100000000","1344456720000000"
"39","61903976734989708292650745584067028825","120","UnderConsideration","Unspecified","","1331886960000000","1345558680000000"
"40","61903976734989708292650745584067028825","120","Available","Unspecified","","1331886960000000","1346184600000000"
"41","6261113875254526645681466619158263704150196","4060741400007923322","Available","A2","1011","1346749020000000","1346749020000000"
"42","906817173682827933461024167612390949004579487","4060741400007923316","UnderConsideration","B1","1013","1346750160000000","1346750160000000"
"43","722370761934857874470170555029588","120","Available","A1","1011","1346751600000000","1346751661000000"
"44","839712084051991870975929089821","4060741400007923409","Available","B2+","","1336471440000000","1347048720000000"
"45","3443691246660620692869952846913426","4060741400008824701","UnderConsideration","Unspecified","4000741400001402409","1345111380000000","1347269461000000"
"46","205304639744675120430052768865857280442828676","4060741400007923326","UnderConsideration","B1","1012","1348152240000000","1348152240000000"
"47","2784623356124592761679904082154354177349","4060741400007923310","Available","B1","4000741400001402414","1349708940000000","1349710021000000"
"48","205304639744675120430052768865857280442828676","4060741400007923326","Available","B1","1012","1348152240000000","1349997120000000"
"49","3443691246660620692869952846913426","4060741400008824701","Available","Unspecified","4000741400001402409","1345111380000000","1350547622000000"
"50","128932951169671683018288362717731574","120","UnderConsideration","B2","","1349429280000000","1350991441000000"
"51","128932951169671683018288362717731574","120","Available","B2","","1349429280000000","1350991442000000"
