"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"12353","8050000000000001939","Business and Project Operations","Corporate Services","true","2","A","A2","2","1711540637725000","1711541465951000"
"13539","8050000000000001939","Business and Project Operations","Corporate Services","true","2","A","A2","2","1711540637725000","1711541465951000"
"12354","8050000000000001945","Business and Project Operations","Corporate Services","true","5","A","A5","5","1711540637725000","1711541465951000"
"13540","8050000000000001945","Business and Project Operations","Corporate Services","true","5","A","A5","5","1711540637725000","1711541465951000"
"12351","8050000000000001937","Business and Project Operations","Corporate Services","true","1","A","A1","1","1711540637725000","1711541465951000"
"13541","8050000000000001937","Business and Project Operations","Corporate Services","true","1","A","A1","1","1711540637725000","1711541465951000"
"12350","8050000000000001941","Business and Project Operations","Corporate Services","true","3","A","A3","3","1711540637725000","1711541465951000"
"13538","8050000000000001941","Business and Project Operations","Corporate Services","true","3","A","A3","3","1711540637725000","1711541465951000"
"12352","8050000000000001943","Business and Project Operations","Corporate Services","true","4","A","A4","4","1711540637725000","1711541465951000"
"13542","8050000000000001943","Business and Project Operations","Corporate Services","true","4","A","A4","4","1711540637725000","1711541465951000"
"12423","4060741400006213612","CFO Office","Other","false","","C","C","0","1638957366308000","1711724268784000"
