"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"10773","4000741400001402379","Testing","Delivery","true","4","A","A4","4","1638957366308000","1638957366308000"
"10997","4000741400001402382","Custom","Other","false","3","O","O3","0","1638957366307000","1638957366307000"
"13226","4000741400001402386","Business Analysis","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"11005","4000741400001402388","Custom","Other","false","4","O","O4","0","1638957366307000","1638957366307000"
"12249","4000741400001402392","Quality Assurance","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"10771","4000741400001402398","Testing","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"9952","4000741400001402407","Technical Writing","Delivery","false","5","A","A5","5","1638957366308000","1658317940287000"
"13225","4000741400001402408","Business Analysis","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"11836","4000741400001402412","DB Development and Administration","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"12321","4000741400001402413","Maintenance & Support","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12315","4000741400001402416","Maintenance & Support","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"8380","4000741400001605992","Technology Consulting (Track A)","Delivery","false","3","A","A3","3","1638957366308000","1638957366308000"
"8142","4000741400001606009","Technology Consulting (Track A)","Delivery","false","5","A","A5","5","1638957366308000","1638957366308000"
"13347","4060741400005179326","Architecture","Delivery","true","2","B","B2","5","1638957366307000","1638957366307000"
"13348","4060741400005179328","Architecture","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"10983","4060741400005360229","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"10980","4060741400006412606","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"12963","4060741400007151446","Data Analysis","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"12960","4060741400007151467","Data Analysis","Delivery","true","4","A","A4","4","1638957366308000","1638957366308000"
"13457","4060741400007382307","Account Management","Business","false","1","B","B1","4","1638957366307000","1638957366307000"
"12296","4060741400007382322","CEO Office","Other","false","","C","C","0","1638957366308000","1638957366308000"
"12302","4060741400007382344","CTO Office","Other","false","","C","C","0","1638957366308000","1638957366308000"
"13441","4060741400007382363","Business Consulting","Consulting","true","5","B","B5","8","1638957366307000","1638957366307000"
"12281","4060741400007432294","Business Unit Management","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"12257","4060741400007514481","End-User IT Support","Other","false","5","A","A5","5","1638957366308000","1638957366308000"
"10672","4060741400007514484","IT Infrastructure Support","Corporate Services","true","2","A","A2","2","1638957366308000","1638957366308000"
"10779","4060741400007514484","IT Infrastructure Support","Corporate Services","false","2","A","A2","2","1638957366308000","1672746774425000"
"10791","4060741400007514484","IT Infrastructure Support","Corporate Services","true","2","A","A2","2","1638957366308000","1673623468128000"
