"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"11195","4060741400007514484","IT Infrastructure Support","Corporate Services","false","2","A","A2","2","1638957366308000","1681743307218000"
"12341","4060741400007514491","IT Service Management","Other","false","3","B","B3","6","1638957366308000","1638957366308000"
"12279","4060741400007514492","IT Service Management","Other","false","4","B","B4","7","1638957366308000","1638957366308000"
"13026","4060741400007514502","Service Desk","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"12344","4060741400007514511","Software Maintenance","Other","false","5","A","A5","5","1638957366307000","1638957366307000"
"12329","4060741400007529071","CFO Office","Other","false","","C","C","0","1638957366308000","1638957366308000"
"12327","4060741400007533959","UX Design","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"12310","4060741400007533984","Graphic Design","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"12274","4060741400007533987","Graphic Design","Other","false","4","A","A4","4","1638957366308000","1638957366308000"
"9616","4060741400007533990","Content Strategy","Delivery","false","1","A","A1","1","1638957366308000","1653466165263000"
"12336","4060741400007533997","Content Copywriting","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12297","4060741400008129597","Consultant","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"12298","4060741400008307087","Global Mobility","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"12318","4060741400008307088","Global Mobility","Other","false","4","A","A4","4","1638957366308000","1638957366308000"
"12325","4060741400008307098","Procurement","Other","false","4","A","A4","4","1638957366308000","1638957366308000"
"13361","4060741400008308469","Process Engineering","Corporate Services","true","1","A","A1","1","1638957366308000","1638957366308000"
"13357","4060741400008308473","Process Engineering","Corporate Services","true","5","A","A5","5","1638957366308000","1638957366308000"
"12284","4060741400008308474","Procurement","Other","false","5","A","A5","5","1638957366308000","1638957366308000"
"8378","4060741400008918524","Training and Development","Corporate Services","false","2","A","A2","2","1638957366308000","1638957366308000"
"12285","4060741400008966588","Human Resource Management new","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"12261","4060741400009246281","Scientist","Other","false","5","A","A5","5","1638957366307000","1638957366307000"
"13290","4060741400009609048","Delivery Management","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"8055","4060741400009678150","Training and Development","Corporate Services","false","5","A","A5","5","1638957366308000","1638957366308000"
"13548","4060741400010084402","Systems Engineering","Delivery","true","5","A","A5","5","1638957366308000","1638957366308000"
"13448","4060741400010085683","Application Support","Delivery","true","5","A","A5","5","1638957366308000","1638957366308000"
"13329","4060741400010086941","Service Delivery Management","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"13319","4060741400010086942","Service Delivery Management","Delivery","true","5","B","B5","8","1638957366307000","1638957366307000"
"9946","4060741400029899545","Custom","Other","true","","O","O","0","1638957366307000","1658144940912000"
"10993","4060741400029899545","Custom","Other","true","","O","O","0","1638957366307000","1658144940912000"
"13287","4060741400034237214","Delivery Management","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"13289","4060741400034237216","Delivery Management","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"8114","4060741400034406509","Human Resources","Corporate Services","false","4","A","A4","4","1638957366308000","1638957366308000"
"8345","4060741400034466870","Scientific Curation","Delivery","true","3","A","A3","3","1638957366308000","1638957366308000"
"8432","4060741400034466872","Scientific Curation","Delivery","true","5","A","A5","5","1638957366308000","1638957366308000"
"13453","4060741400034466970","Account Management","Business","true","4","B","B4","7","1638957366307000","1638957366307000"
"8347","4060741400034959088","Algorithm Development","Delivery","true","4","A","A4","4","1638957366308000","1638957366308000"
"11526","4060741400035325143","Pre-Production Training and Development","Corporate Services","true","2","A","A2","2","1638957366308000","1638957366308000"
"11547","4060741400035325143","Pre-Production Training and Development","Corporate Services","false","2","A","A2","2","1638957366308000","1686063935802000"
"11302","4060741400035341167","Pre-Production Training and Development","Corporate Services","true","1","A","A1","1","1638957366308000","1638957366308000"
"11542","4060741400035341167","Pre-Production Training and Development","Corporate Services","false","1","A","A1","1","1638957366308000","1685994224618000"
"11301","4060741400035343451","Pre-Production Training and Development","Corporate Services","true","3","A","A3","3","1638957366308000","1638957366308000"
"11541","4060741400035343451","Pre-Production Training and Development","Corporate Services","false","3","A","A3","3","1638957366308000","1685994224618000"
"11539","4060741400035343469","Pre-Production Training and Development","Corporate Services","false","1","A","A1","1","1638957366308000","1638957366308000"
"13267","4060741400035375601","Business Development","Business","true","3","B","B3","6","1638957366307000","1638957366307000"
"13274","4060741400035375602","Business Development","Business","true","4","B","B4","7","1638957366307000","1638957366307000"
"8317","4060741400035636499","Global Mobility and Travel","Corporate Services","false","2","A","A2","2","1638957366308000","1638957366308000"
"8298","4060741400035636704","Service Management","Corporate Services","false","1","B","B1","4","1638957366308000","1638957366308000"
"8140","4060741400035636717","Service Management","Corporate Services","false","4","B","B4","7","1638957366308000","1638957366308000"
"8346","4060741400035739700","Finance","Corporate Services","true","2","A","A2","2","1638957366308000","1638957366308000"
"8391","4060741400035739701","Finance","Corporate Services","true","3","A","A3","3","1638957366308000","1638957366308000"
"8478","4060741400035843784","Experience Architecture","Delivery","false","4","B","B4","7","1638957366308000","1638957366308000"
"11454","4060741400036172592","Legal","Corporate Services","true","1","A","A1","1","1638957366307000","1638957366307000"
"13488","4060741400036269806","Talent Acquisition","Corporate Services","true","2","A","A2","2","1638957366307000","1638957366307000"
"13366","4060741400037169520","Agile Coach","Delivery","true","2","B","B2","5","1638957366307000","1638957366307000"
"13370","4060741400037169524","Agile Coach","Delivery","true","5","B","B5","8","1638957366307000","1638957366307000"
"8161","4060741400037210558","Experience Design","Delivery","false","4","A","A4","4","1638957366308000","1638957366308000"
"9685","4060741400301107717","Data Administration","Delivery","true","3","A","A3","3","1638957366307000","1654674254918000"
"11969","4060741400301107717","Data Administration","Delivery","true","3","A","A3","3","1638957366307000","1654674254918000"
"13388","4060741400309298945","Functional Engineering","Delivery","true","5","A","A5","5","1638957366307000","1638957366307000"
"10929","4060741400311610511","Design","Delivery","true","1","A","A1","1","1638957366307000","1638957366307000"
"13509","4060741400334097632","People Management","Corporate Services","true","1","B","B1","4","1638957366307000","1638957366307000"
"13508","4060741400334097634","People Management","Corporate Services","true","3","B","B3","6","1638957366307000","1638957366307000"
"13507","4060741400334097635","People Management","Corporate Services","true","4","B","B4","7","1638957366307000","1638957366307000"
"13427","4060741400335633830","Experience Consulting","Consulting","true","5","B","B5","8","1638957366307000","1638957366307000"
"13059","4060741400336176271","Sales Enablement","Business","true","1","A","A1","1","1638957366307000","1638957366307000"
"8329","4060741400376211714","Physical Technology Development","Delivery","true","2","A","A2","2","1638957366307000","1638957366307000"
"8445","4060741400376211716","Physical Technology Development","Delivery","true","4","A","A4","4","1638957366307000","1638957366307000"
"10989","6","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"8322","8050000000000000077","Staffing","Corporate Services","true","4","A","A4","4","1638957366307000","1638957366307000"
"13203","8050000000000000128","Advanced Engineering","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"8849","8050000000000000159","Instructional Design","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"10510","8050000000000000170","Content Development","Delivery","true","1","A","A1","1","1638957366307000","1638957366307000"
"12054","8050000000000000248","Project Administration","Delivery","true","4","A","A4","4","1638957366307000","1638957366307000"
"13291","8050000000000000390","Design Management","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"9682","8050000000000001321","Advanced Delivery","Delivery","true","4","B","B4","7","1639652818071000","1654674230175000"
"10037","8050000000000001373","Content Services","Delivery","true","1","A","A1","1","1646227972914000","1646229932111000"
"13554","8050000000000001373","Content Services","Delivery","true","1","A","A1","1","1646227972914000","1646229932111000"
"10032","8050000000000001492","Engineering Management","Delivery","true","3","B","B3","6","1651836608324000","1651836845388000"
"13298","8050000000000001492","Engineering Management","Delivery","true","3","B","B3","6","1651836608324000","1651836845388000"
"10034","8050000000000001493","Engineering Management","Delivery","true","4","B","B4","7","1651836608324000","1651836845388000"
"13297","8050000000000001493","Engineering Management","Delivery","true","4","B","B4","7","1651836608324000","1651836845388000"
"10315","8050000000000001607","Research & Insights","Delivery","true","3","A","A3","3","1669902949201000","1669903018920000"
"10320","8050000000000001607","Research & Insights","Delivery","true","3","A","A3","3","1669902949201000","1669903018920000"
"10326","8050000000000001607","Research & Insights","Delivery","false","3","A","A3","3","1669902949201000","1669903180479000"
"10330","8050000000000001612","Research and Insights","Delivery","true","1","A","A1","1","1669903219302000","1669903236596000"
"11461","8050000000000001612","Research and Insights","Delivery","true","1","A","A1","1","1669903219302000","1669903236596000"
"10635","8050000000000001650","IT Infrastructure Support and Operations","Corporate Services","true","1","A","A1","1","1672736773315000","1672736797826000"
"10711","8050000000000001650","IT Infrastructure Support and Operations","Corporate Services","true","1","A","A1","1","1672736773315000","1672736797826000"
"11554","8050000000000001650","IT Infrastructure and Operations","Corporate Services","true","1","A","A1","1","1672736773315000","1673430238808000"
"10068","8050000000000001693","TESTt","Business","false","3","A","A3","3","1658649263578000","1658927656835000"
"11229","8050000000000001736","Talent Development Services","Corporate Services","true","5","A","A5","5","1681986267263000","1681994403890000"
"11535","8050000000000001736","Talent Development Services","Corporate Services","true","5","A","A5","5","1681986267263000","1681994403890000"
"11863","8050000000000001883","Consulting Analysis","Consulting","true","1","A","A1","1","1702988555460000","1702989159413000"
"13096","8050000000000001883","Consulting Analysis","Consulting","true","1","A","A1","1","1702988555460000","1702998246678000"
"11862","8050000000000001889","Consulting Analysis","Consulting","true","4","A","A4","4","1702988555460000","1702989159413000"
"13099","8050000000000001889","Consulting Analysis","Consulting","true","4","A","A4","4","1702988555460000","1702998246678000"
"13465","1011","Software Engineering","Delivery","true","1","A","A1","1","1638957366307000","1638957366307000"
"10987","1022","Custom","Other","false","2","O","O2","0","1638957366307000","1638957366307000"
"11001","103","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"11007","104","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"10982","105","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"10988","2","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"12306","4000629602170011143","CFO Office","Other","false","","C","C","0","1638957366308000","1638957366308000"
"12272","4000741400001402383","Quality Assurance","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"10994","4000741400001402387","Custom","Other","false","1","O","O1","0","1638957366307000","1638957366307000"
"12254","4000741400001402394","Management","Other","false","3","B","B3","6","1638957366308000","1638957366308000"
"12330","4000741400001402402","Management","Other","false","4","B","B4","7","1638957366308000","1638957366308000"
"10769","4000741400001402403","Testing","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"12264","4000741400001402405","Quality Assurance","Other","false","4","A","A4","4","1638957366308000","1638957366308000"
"13312","4000741400001402410","Project Management","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"9955","4000741400001402411","Technical Writing","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"12308","4000741400001402415","Maintenance & Support","Other","false","5","A","A5","5","1638957366308000","1638957366308000"
"9953","4000741400001402417","Technical Writing","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"12250","4000741400001402418","Quality Assurance","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"8343","4000741400001402835","Performance Optimization","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"8072","4000741400001402836","Performance Optimization","Delivery","true","3","A","A3","3","1638957366308000","1638957366308000"
"10999","4000741400006135642","Custom","Other","false","","O","O","0","1638957366307000","1638957366307000"
"13346","4060741400005179330","Architecture","Delivery","true","5","B","B5","8","1638957366307000","1638957366307000"
"12253","4060741400007382318","Practice Management","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"12242","4060741400007382321","CEO Office","Other","false","","C","C","0","1638957366308000","1638957366308000"
"12335","4060741400007382326","Business Unit Management","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"12339","4060741400007382340","Global Operations","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"13272","4060741400007382348","Business Development","Business","false","1","B","B1","4","1638957366307000","1638957366307000"
"13476","4060741400007382351","Resource Management","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"13475","4060741400007382352","Resource Management","Delivery","true","2","B","B2","5","1638957366307000","1638957366307000"
"13479","4060741400007382354","Resource Management","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"12269","4060741400007514478","End-User IT Support","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12256","4060741400007514479","End-User IT Support","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"10673","4060741400007514483","IT Infrastructure Support","Corporate Services","true","1","A","A1","1","1638957366308000","1638957366308000"
"10780","4060741400007514483","IT Infrastructure Support","Corporate Services","false","1","A","A1","1","1638957366308000","1672746774425000"
"10792","4060741400007514483","IT Infrastructure Support","Corporate Services","true","1","A","A1","1","1638957366308000","1673623468128000"
"11196","4060741400007514483","IT Infrastructure Support","Corporate Services","false","1","A","A1","1","1638957366308000","1681743307218000"
"10671","4060741400007514486","IT Infrastructure Support","Corporate Services","true","4","A","A4","4","1638957366308000","1638957366308000"
"10783","4060741400007514486","IT Infrastructure Support","Corporate Services","false","4","A","A4","4","1638957366308000","1672746774425000"
"10793","4060741400007514486","IT Infrastructure Support","Corporate Services","true","4","A","A4","4","1638957366308000","1673623468128000"
"11194","4060741400007514486","IT Infrastructure Support","Corporate Services","false","4","A","A4","4","1638957366308000","1681743307218000"
"12258","4060741400007514490","IT Service Management","Other","false","2","B","B2","5","1638957366308000","1638957366308000"
"12290","4060741400007514495","License Compliance","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"12326","4060741400007514496","License Compliance","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12320","4060741400007514497","License Compliance","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"12245","4060741400007514498","License Compliance","Other","false","4","A","A4","4","1638957366308000","1638957366308000"
"12246","4060741400007514499","License Compliance","Other","false","5","A","A5","5","1638957366308000","1638957366308000"
"13024","4060741400007514503","Service Desk","Delivery","true","3","A","A3","3","1638957366308000","1638957366308000"
"12343","4060741400007514508","Software Maintenance","Other","false","2","A","A2","2","1638957366307000","1638957366307000"
"12292","4060741400007514509","Software Maintenance","Other","false","3","A","A3","3","1638957366307000","1638957366307000"
"12312","4060741400007533960","UX Design","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12259","4060741400007533961","UX Design","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"12283","4060741400007533986","Graphic Design","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"12243","4060741400007533996","Content Copywriting","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"12337","4060741400007533998","Content Copywriting","Other","false","3","A","A3","3","1638957366308000","1638957366308000"
"13522","4060741400007548917","Administration","Corporate Services","false","1","A","A1","1","1638957366307000","1638957366307000"
"13510","4060741400007548920","Administration","Corporate Services","false","1","A","A1","1","1638957366307000","1638957366307000"
"13512","4060741400007548923","Administration","Corporate Services","false","1","A","A1","1","1638957366307000","1638957366307000"
"12167","4060741400007554768","Marketing","Business","true","1","A","A1","1","1638957366307000","1638957366307000"
"12164","4060741400007554769","Marketing","Business","true","2","A","A2","2","1638957366307000","1638957366307000"
"12311","4060741400007631728","Global Operations","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"8339","4060741400007639504","Human Resources","Corporate Services","false","1","A","A1","1","1638957366308000","1638957366308000"
"12319","4060741400008307096","Procurement","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"8340","4060741400008308462","Human Resources","Corporate Services","false","5","A","A5","5","1638957366308000","1638957366308000"
"13360","4060741400008308471","Process Engineering","Corporate Services","true","3","A","A3","3","1638957366308000","1638957366308000"
"8461","4060741400008918532","Training and Development","Corporate Services","false","5","A","A5","5","1638957366308000","1638957366308000"
"12247","4060741400009246278","Scientist","Other","false","2","A","A2","2","1638957366307000","1638957366307000"
"12270","4060741400009608448","Pre-Sales Management","Other","false","1","B","B1","4","1638957366307000","1638957366307000"
"13549","4060741400010084398","Systems Engineering","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"13446","4060741400010085672","Application Support","Delivery","true","3","A","A3","3","1638957366308000","1638957366308000"
"13322","4060741400010086938","Service Delivery Management","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"13335","4060741400010086940","Service Delivery Management","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"12278","4060741400029899544","Business Unit Management","Other","false","1","B","B1","4","1638957366308000","1638957366308000"
"13288","4060741400034237218","Delivery Management","Delivery","true","5","B","B5","8","1638957366307000","1638957366307000"
"8204","4060741400034406498","Human Resources","Corporate Services","false","3","A","A3","3","1638957366308000","1638957366308000"
"8431","4060741400034466866","Scientific Curation","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"8110","4060741400034466871","Scientific Curation","Delivery","true","4","A","A4","4","1638957366308000","1638957366308000"
"13458","4060741400034466954","Account Management","Business","true","1","B","B1","4","1638957366307000","1638957366307000"
"13455","4060741400034466975","Account Management","Business","true","5","B","B5","8","1638957366307000","1638957366307000"
"12300","4060741400034576876","Language Training","Other","false","1","A","A1","1","1638957366308000","1638957366308000"
"12276","4060741400034576877","Language Training","Other","false","2","A","A2","2","1638957366308000","1638957366308000"
"12262","4060741400034576882","Language Training Management","Other","false","1","B","B1","4","1638957366307000","1638957366307000"
"12263","4060741400034576884","Language Training Management","Other","false","3","B","B3","6","1638957366307000","1638957366307000"
"8154","4060741400034959080","Algorithm Development","Delivery","true","1","A","A1","1","1638957366308000","1638957366308000"
"8205","4060741400034959086","Algorithm Development","Delivery","true","2","A","A2","2","1638957366308000","1638957366308000"
"11540","4060741400035343484","Pre-Production Training and Development","Corporate Services","false","5","A","A5","5","1638957366308000","1638957366308000"
"8138","4060741400035636498","Global Mobility and Travel","Corporate Services","false","1","A","A1","1","1638957366308000","1638957366308000"
"8255","4060741400035636500","Global Mobility and Travel","Corporate Services","false","3","A","A3","3","1638957366308000","1638957366308000"
"8156","4060741400035739698","Finance","Corporate Services","true","1","A","A1","1","1638957366308000","1638957366308000"
"8158","4060741400035843782","Experience Architecture","Delivery","false","2","B","B2","5","1638957366308000","1638957366308000"
"8157","4060741400035843783","Experience Architecture","Delivery","false","3","B","B3","6","1638957366308000","1638957366308000"
"8307","4060741400036089487","Pre-Sales","Business","false","2","A","A2","2","1638957366308000","1638957366308000"
"8389","4060741400036089494","Pre-Sales","Business","false","4","A","A4","4","1638957366308000","1638957366308000"
"8316","4060741400036089495","Pre-Sales","Business","false","5","A","A5","5","1638957366308000","1638957366308000"
"11455","4060741400036172609","Legal","Corporate Services","true","5","A","A5","5","1638957366307000","1638957366307000"
"13483","4060741400036269805","Talent Acquisition","Corporate Services","true","1","A","A1","1","1638957366307000","1638957366307000"
"13485","4060741400036269807","Talent Acquisition","Corporate Services","true","3","A","A3","3","1638957366307000","1638957366307000"
"13491","4060741400036269809","Talent Acquisition","Corporate Services","true","4","A","A4","4","1638957366307000","1638957366307000"
"13481","4060741400036269810","Talent Acquisition","Corporate Services","true","5","A","A5","5","1638957366307000","1638957366307000"
"13518","4060741400037048360","Administration","Corporate Services","true","2","A","A2","2","1638957366307000","1638957366307000"
"13369","4060741400037169518","Agile Coach","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"13368","4060741400037169521","Agile Coach","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"13521","4060741400037194871","Administration","Corporate Services","true","5","A","A5","5","1638957366307000","1638957366307000"
"8264","4060741400037210557","Experience Design","Delivery","false","3","A","A3","3","1638957366308000","1638957366308000"
"9686","4060741400301107715","Data Administration","Delivery","true","1","A","A1","1","1638957366307000","1654674254918000"
"11971","4060741400301107715","Data Administration","Delivery","true","1","A","A1","1","1638957366307000","1654674254918000"
"13387","4060741400309298943","Functional Engineering","Delivery","true","3","A","A3","3","1638957366307000","1638957366307000"
"10930","4060741400311610519","Design","Delivery","true","5","A","A5","5","1638957366307000","1638957366307000"
"13294","4060741400311614143","Design Management","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"10444","4060741400312673241","Technology Consulting","Consulting","true","1","B","B1","4","1638957366307000","1638957366307000"
"13433","4060741400312673241","Technology Consulting","Consulting","false","1","B","B1","4","1638957366307000","1681760189645000"
"13432","4060741400312673243","Technology Consulting","Consulting","true","3","B","B3","6","1638957366307000","1638957366307000"
"13431","4060741400312673245","Technology Consulting","Consulting","true","5","B","B5","8","1638957366307000","1638957366307000"
"13535","4060741400326561492","Corporate Functions Management","Corporate Services","true","2","B","B2","5","1638957366307000","1638957366307000"
"13041","4060741400334095796","People Services","Corporate Services","true","5","A","A5","5","1638957366307000","1638957366307000"
"8458","4060741400335210054","Human Resources","Corporate Services","false","4","A","A4","4","1638957366308000","1638957366308000"
"13428","4060741400335633828","Experience Consulting","Consulting","true","3","B","B3","6","1638957366307000","1638957366307000"
"13430","4060741400335633829","Experience Consulting","Consulting","true","4","B","B4","7","1638957366307000","1638957366307000"
"8091","4060741400376211713","Physical Technology Development","Delivery","true","1","A","A1","1","1638957366307000","1638957366307000"
"9947","8050000000000000066","Sales Enablement","Business","false","5","A","A5","5","1638957366307000","1658317912591000"
"13080","8050000000000000066","Sales Enablement","Business","false","5","A","A5","5","1638957366307000","1658317912591000"
"8122","8050000000000000075","Staffing","Corporate Services","true","2","A","A2","2","1638957366307000","1638957366307000"
"11283","8050000000000000088","Learning and Development Services","Corporate Services","true","2","A","A2","2","1638957366307000","1638957366307000"
"11529","8050000000000000088","Learning and Development Services","Corporate Services","false","2","A","A2","2","1638957366307000","1685994189148000"
"11285","8050000000000000090","Learning and Development Services","Corporate Services","true","4","A","A4","4","1638957366307000","1638957366307000"
"11533","8050000000000000090","Learning and Development Services","Corporate Services","false","4","A","A4","4","1638957366307000","1685994189148000"
"8215","8050000000000000142","Staffing","Corporate Services","true","1","A","A1","1","1638957366307000","1638957366307000"
"13316","8050000000000000147","Product Management","Delivery","true","1","B","B1","4","1638957366307000","1638957366307000"
"13327","8050000000000000149","Product Management","Delivery","true","3","B","B3","6","1638957366307000","1638957366307000"
"13315","8050000000000000150","Product Management","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"8846","8050000000000000162","Instructional Design","Delivery","true","4","B","B4","7","1638957366307000","1638957366307000"
"10509","8050000000000000171","Content Development","Delivery","true","2","A","A2","2","1638957366307000","1638957366307000"
"12055","8050000000000000249","Project Administration","Delivery","true","5","A","A5","5","1638957366307000","1638957366307000"
"9681","8050000000000001319","Advanced Delivery","Delivery","true","2","B","B2","5","1639652818071000","1654674230175000"
"9680","8050000000000001320","Advanced Delivery","Delivery","true","3","B","B3","6","1639652818071000","1654674230175000"
"10040","8050000000000001379","Content Services","Delivery","true","4","A","A4","4","1646227972914000","1646229932111000"
"13556","8050000000000001379","Content Services","Delivery","true","4","A","A4","4","1646227972914000","1646229932111000"
"10039","8050000000000001381","Content Services","Delivery","true","5","A","A5","5","1646227972914000","1646229932111000"
"13553","8050000000000001381","Content Services","Delivery","true","5","A","A5","5","1646227972914000","1646229932111000"
"10033","8050000000000001490","Engineering Management","Delivery","true","1","B","B1","4","1651836608324000","1651836845388000"
"13296","8050000000000001490","Engineering Management","Delivery","true","1","B","B1","4","1651836608324000","1651836845388000"
"10170","8050000000000001588","Pre-Production Training and Development","Corporate Services","true","5","A","A5","5","1638957366308000","1664819497699000"
"11522","8050000000000001588","Pre-Production Training and Development","Corporate Services","true","5","A","A5","5","1638957366308000","1664819497699000"
"11543","8050000000000001588","Pre-Production Training and Development","Corporate Services","false","5","A","A5","5","1638957366308000","1686063935802000"
"10332","8050000000000001614","Research and Insights","Delivery","true","3","A","A3","3","1669903219302000","1669903236596000"
"11463","8050000000000001614","Research and Insights","Delivery","true","3","A","A3","3","1669903219302000","1669903236596000"
"10636","8050000000000001653","IT Infrastructure Support and Operations","Corporate Services","true","4","A","A4","4","1672736773315000","1672736797826000"
"10738","8050000000000001653","IT Infrastructure and Operations","Corporate Services","true","4","A","A4","4","1672736773315000","1672736797826000"
"11555","8050000000000001653","IT Infrastructure and Operations","Corporate Services","true","4","A","A4","4","1672736773315000","1673430251246000"
"10816","8050000000000001679","Advisory Consulting","Consulting","true","2","B","B2","5","1674824866998000","1674825406786000"
"13238","8050000000000001679","Advisory Consulting","Consulting","true","2","B","B2","5","1674824866998000","1674825406786000"
"10067","8050000000000001694","TESTt","Business","false","4","A","A4","4","1658649263578000","1658927656835000"
"11008","8050000000000001708","Other","Other","true","","O","O","0","1676368550479000","1676368550479000"
"11760","8050000000000001865","Functional Consulting","Delivery","true","1","B","B1","4","1696418555764000","1696419149407000"
"13126","8050000000000001865","Functional Consulting","Delivery","true","1","B","B1","4","1696418555764000","1696419149407000"
"11763","8050000000000001869","Functional Consulting","Delivery","true","3","B","B3","6","1696418555764000","1696419149407000"
