"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"12452","8050000000000000248","Project Administration","Delivery","false","4","A","A4","4","1638957366307000","1712049090022000"
"12453","8050000000000000249","Project Administration","Delivery","false","5","A","A5","5","1638957366307000","1712049090022000"
"12450","8050000000000000245","Project Administration","Delivery","false","1","A","A1","1","1638957366307000","1712049090022000"
"12449","8050000000000000246","Project Administration","Delivery","false","2","A","A2","2","1638957366307000","1712049090022000"
"12451","8050000000000000247","Project Administration","Delivery","false","3","A","A3","3","1638957366307000","1712049090022000"
