"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"12037","4000741400001402412","DB Development and Administration","Delivery","false","1","A","A1","1","1638957366308000","1708611707933000"
"12036","4000741400001402377","DB Development and Administration","Delivery","false","2","A","A2","2","1638957366308000","1708611707933000"
"12040","4000741400001402397","DB Development and Administration","Delivery","false","4","A","A4","4","1638957366308000","1708611707933000"
"12038","4000741400001402400","DB Development and Administration","Delivery","false","5","A","A5","5","1638957366308000","1708611707933000"
"12039","4000741400001402414","DB Development and Administration","Delivery","false","3","A","A3","3","1638957366308000","1708611707933000"
