"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"82264","553650854076526657555143621015590104","Applicant","763096882369331968995331720332830316121","CANCELLED","75758358701559069920166092569216564638714960625","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730450820000000","1733043000000600"
"82265","72970815785277268133189481663105629958223","Applicant","2560787926287390872123073750684150498805108","DRAFT","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1733047200000000","1733047249000100"
"82266","904410543579328122451710735044579837597470564638","Applicant","5852909891804037948262647684976507180","SCHEDULED","77021590522641248041968252953320274762965","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1732796940000000","1733047692000200"
"82267","904410543579328122451710735044579837597470564638","Applicant","5852909891804037948262647684976507180","CANCELLED","77021590522641248041968252953320274762965","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1732796940000000","1733047726000600"
"82268","542431827690278817631515809444413909974","Applicant","5852909891804037948262647684976507180","DRAFT","77021590522641248041968252953320274762965","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1733047680000000","1733047727000100"
"82269","538095989780769846968875887824667909520593","Applicant","236810839840284678135348287559778227294929196475","SCHEDULED","37567166142235703136669626356935898","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1732988100000000","1733055514000200"
"82270","1422217621424860809484662640220575384675","Applicant","236810839840284678135348287559778227294929196475","DRAFT","37567166142235703136669626356935898","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1733055540000000","1733055556000100"
"82271","3542747441051010468331067228993344689845137","Applicant","3475770491517611067883959965397023","SCHEDULED","4477297455451080033641678050300389169","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1732820400000000","1733070549943200"
"82272","32191330885287213766279409900594431977623849663","Applicant","0170276617057582879353573486759727795579","SCHEDULED","2727913696126696373784387754710069003448939746","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1732823580000000","1733085476000200"
"82273","543481692882706337513813477900690082300814789","Applicant","283786989983815573307475368170875587239","COMPLETED","40669633491446929451830702255704223231017","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1723798980000000","1733097819000500"
