"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"16481","19648007013679544410149056901963566228432667","Applicant","622034809668800528869414000572469261544408697","COMPLETED","489949758656803334656811965641949037726637106","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1709050860000000","1711930390000500"
"16482","2240638338473705809171239681384247474267","Applicant","06401328325670032950966910100029759309362","SCHEDULED","0661142476069100684687841824494","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1711619040000000","1711936922000200"
"16483","9067751113620806785083212389880459640300162","Applicant","0583601093503295866446321803202303","SCHEDULED","2867165321718236356994811371131494923547","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1711921200000000","1711938044000200"
"16484","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","SCHEDULED","1828489907008121111770462816853359467698565","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1711438860000000","1711940137661200"
"16485","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","IN_PROGRESS","1828489907008121111770462816853359467698565","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1711438860000000","1711940700000300"
"16486","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","PENDING_FEEDBACK","1828489907008121111770462816853359467698565","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1711438860000000","1711944000000400"
"16487","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","PENDING_FEEDBACK","1828489907008121111770462816853359467698565","MS_TEAMS","false","false","ONLINE","Technical","RECORDING_ON_THE_WAY","ACCEPTED","1711438860000000","1711944001000400"
"16488","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","PENDING_FEEDBACK","1828489907008121111770462816853359467698565","MS_TEAMS","false","false","ONLINE","Technical","PROCESSING","ACCEPTED","1711438860000000","1711944617000400"
"16489","35784368658056181248051929907892613601873380828","Applicant","3546965682651898645368756623215326390370461876","PENDING_FEEDBACK","1828489907008121111770462816853359467698565","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1711438860000000","1711944900000400"
"16490","673143625977069169893898774198603692","Applicant","2680750488904746595734031380558564214848629716","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1711535580000000","1711947214000100"
"16491","574293978110122727674905428631679983157","Applicant","839890429856650002326711876224971126229","REQUESTED","888028701738101660396176896682035985","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1711715820000000","1711948245000100"
