"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"72120","1679709914779164021265959317070870872063788306541","Applicant","04359316455230843630031386069547493350006720270","COMPLETED","9781219342033396029129783124609567","MS_TEAMS","false","true","ONLINE","Project","DONE","ACCEPTED","1717682160000000","1730419425000500"
"72121","941845454238787408780760348630023597022893743","Applicant","2993523609888709027851227014219738679691831","PENDING_FEEDBACK","60744053230199489993822558804752910747784024","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","","1720426920000000","1730419444000400"
"72122","398242488124882670643856733236274708331737136","Applicant","958979827213892226087595596151029665984","COMPLETED","3161624329441947565590661943316405355279027","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1721902260000000","1730419576000500"
"72123","7643793518150088060913208078903808955768","Applicant","353841232978921597901163775366829584278","CANCELLED","1341811096461818557419567573079815161","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1722441720000000","1730419825000600"
"72124","022037421042606051206636167546571219735152","Applicant","634613252425368629235879816565406656277","CANCELLED","4743375239948472710087469853235162728475","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1722504120000000","1730419960000600"
"72125","1456549408311417449780293931802664425212058013","Applicant","98741010660198907992786367554617668028","COMPLETED","316315462017631000331615689932483499411120","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1719830340000000","1730419963000500"
"72126","74317516578082924109762243307017835","Applicant","4462268083705748707263906852833548368","COMPLETED","1463765411628793212931729887992856","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1721894220000000","1730420068000500"
"72127","524509870192184828924309187505","Applicant","8705981984166927051066327710821492512","COMPLETED","343038250494320810081905244094939042287464454","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1722328380000000","1730420193000500"
"72128","060107465818284109155695173172674498557","Applicant","45725240610726630454977995024412918120","CANCELLED","888905767213656672596751610408207088385031329","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1722591120000000","1730420210000600"
"72129","5771302606661352294246628142827648704493","Applicant","420538522970880149390549698690469757734","COMPLETED","432839362525311620969933998287098696","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1721643960000000","1730420255000500"
"72130","96448425725018010891982301890232995183271439","Applicant","53026766784563944656074958111318443","COMPLETED","244903077805224147222759372102134187","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1722595140000000","1730420299000500"
"72131","30833132539375984073151956752007043305","Applicant","733317275299677222561606892454207729","PENDING_FEEDBACK","57895916213044413204282666775940278353876213492","MS_TEAMS","false","true","ONLINE","Project","DONE","ACCEPTED","1720542120000000","1730420399000400"
"72132","917771559120546405105741270747704473127","Applicant","733317275299677222561606892454207729","COMPLETED","620185172795095168939049355422351339269357","MS_TEAMS","false","true","ONLINE","Project","DONE","ACCEPTED","1718974680000000","1730420399000500"
"72133","83158898804956423734133391265905115","Applicant","36769396280558826931844663722304","COMPLETED","392052402992105594769114935330352717673","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1722428400000000","1730420467000500"
"72134","586576997281871062079231122179841735713222269","Applicant","925337313914305275336928892465572","COMPLETED","275201778512395240916384119203857573114531","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1721909940000000","1730422999000500"
"72135","430797145550693353656043898199042876344","Applicant","70872267290654608342566045709392640383","COMPLETED","58719261773589831699495086447636888408386206353","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1722218340000000","1730423030000500"
"72136","944020372791686507835338120963227329480","Applicant","45766959462500296238578514743170559958400","COMPLETED","4875566176806867124300374053536907345086279","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1722253800000000","1730423069000500"
"72137","7480851378199655424235722030458405997617","Applicant","99560884538262873698490181081502286","COMPLETED","5144801232183282052656085444095088401665","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1722565200000000","1730423193000500"
"72138","7974127634647812042417367977903649025596029","Applicant","52999187084120191353169894972515858","CANCELLED","1112508029196722740409339317176615","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1722352500000000","1730423326000600"
"72139","4043412572536907555208451610530886","Applicant","4718664977720211351565086331001299085576","COMPLETED","29156686134770827019931614604860423487366","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","","1722346260000000","1730423412000500"
"72140","000120337069682322331585079990531090949295","Applicant","35640691550831862591129578640303589295627","CANCELLED","62133592190391267780875688656566304107","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1722593400000000","1730423451000600"
"72141","0351341520145957217107328587452263960440","Applicant","94406711793234426501901688515672867273699","COMPLETED","38738404380578249125594307140039320184","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1707756060000000","1730423452000500"
"72142","22422593721729212904670699299359187693595662","Applicant","075310705931334605494251676764287702046919272","CANCELLED","828006620773073609623906548165046261462704","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1719312480000000","1730423488000600"
"72143","462060623495465586001366222983642232","Applicant","075310705931334605494251676764287702046919272","CANCELLED","4418316398002103886211985639331267291979469096","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1722611700000000","1730423488000600"
"72144","455340792015412010917114328162369208756","Applicant","075310705931334605494251676764287702046919272","COMPLETED","1893421248152239455482745690925524679936387","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1722243180000000","1730423489000500"
"72145","16895493988290670341105562199671970904","Applicant","3015880157388888047501886255908143187228","CANCELLED","71126669870841826982177285190132061405238","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","RECORDING_NOT_ACCEPTED","ACCEPTED","1722616920000000","1730423505000600"
"72146","367070268273321415867619072831948870401","Applicant","733317275299677222561606892454207729","COMPLETED","156234131735181788403451205189379611665985","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1717672080000000","1730426471000500"
"72147","431016013974837818909089204750616033587342","Applicant","8406111233919018961381295393288263668124","CANCELLED","3161624329441947565590661943316405355279027","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1722336120000000","1730426572000600"
"72148","65319630507288347459066569670626438130154","Applicant","634613252425368629235879816565406656277","COMPLETED","4743375239948472710087469853235162728475","MS_TEAMS","false","true","ONLINE","Technical","DONE","","1722580500000000","1730426615000500"
"72149","882428500512136362518311387100173532","Applicant","781121939543730257905633813114731867893305","COMPLETED","0877138116839691435847090544779264137","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1722343740000000","1730426669000500"
"72150","06571378058440923972826426983726710160291532","Applicant","1724143381648602257836854577538774776011338","REQUESTED","7463814186411081375111604046768558308113","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730117700000000","1730427766000100"
"72151","41860028617422978955687412867964488422940","Applicant","2701118284058668732373991166616933243478","COMPLETED","5121897043521415275982728682375584647970","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1722417600000000","1730430103000500"
"72152","18188706496072900082858653790062590698","Applicant","2203120652728025710462148788564780872908","CANCELLED","895942500695025270121772518261463269786642","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1722431700000000","1730430109000600"
"72153","5750932154562695628144796307065643418190028168","Applicant","4062989912788449181730396980496550782","COMPLETED","88822706712736258059479534344252446","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1721986980000000","1730430215000500"
"72154","5315914575062781165620198411039","Applicant","8054425124427959610361446794026855135964","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730371260000000","1730430380000100"
"72155","22966620060755340165945265415405998538206","Applicant","85725033381333776407960811746141039","SCHEDULED","00757550584072055031802516998565791178139","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730401320000000","1730432675000200"
"72156","4623230515049640981361700396120907164935","Applicant","075310705931334605494251676764287702046919272","COMPLETED","828006620773073609623906548165046261462704","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1719926400000000","1730433683000500"
"72157","295762510162867414980313902145613955391063","Applicant","36862715986839131826977160832466359262378","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730381520000000","1730438078000100"
"72158","021707835034526457368061112100444836679","Applicant","29375562084602752277288268673341560555984","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1730372460000000","1730438188000100"
