"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"51702","5646577731037999938644285093121531938945","Applicant","9484977905404227952584997725795426048001","SCHEDULED","3200424206320450905342332788692149155","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1724687040000000","1725198234000200"
"51703","466436710583211851369818987902715295946","Applicant","6267556784121253302030779504505705791283","SCHEDULED","92967280848722012574434944099567372697344","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1724788980000000","1725205869000200"
"51704","538237918363538341031853314199652183271552217","Applicant","82778849268349525062926714415166","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1725060240000000","1725231897000100"
"51705","538237918363538341031853314199652183271552217","Applicant","82778849268349525062926714415166","REQUESTED","434810918474749990368974531944999","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1725060240000000","1725231982000100"
"51706","8268997572725020600033088125354218972","Applicant","10879968071147679207494044214214536672381012744","COMPLETED","38738404380578249125594307140039320184","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1707754140000000","1725235390000500"
"51707","3775857118839792540159354766480242676901225","Applicant","4192389530706263116502356019408749","COMPLETED","565892481727858646456535726142556799","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1715824560000000","1725235510000500"
"51708","16645050749772476739006659078975247833799804","Applicant","5470990877352264971130753029893","COMPLETED","071813529656256388742755723063031661114","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1715857380000000","1725235515000500"
"51709","0846740143408274648577814070900521997935787017","Applicant","54582315193991747390280914710793158427771428","COMPLETED","560047683931928713165684426126115831841935","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1716817980000000","1725235652000500"
"51710","74075118730198723865002396615299283625","Applicant","203028125340516438823003773573790263914212126","COMPLETED","91125847651412335746739706184440124267","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1716987000000000","1725235760000500"
"51711","66662685289286045181723939064926215386015740175","Applicant","005878129463289307091039822371262377256","COMPLETED","5619671865982014228748475298288599624","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1716991920000000","1725235763000500"
