"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"10287","5365071300731382455173319756260853460","Applicant","7295561222243676046047724107572586","COMPLETED","0629063301633891109161133968032237","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706012760000000","1709258410000500"
"10288","452277281639299150811269855710659121746","Applicant","8822011172902955394409130558675110642","SCHEDULED","0661142476069100684687841824494","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1709202540000000","1709258883000200"
"10289","2527826452306146957705640948499685592725","Applicant","292674424341146779352140346687671762","REQUESTED","0720971499127819435768595816539118690381","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1709202360000000","1709259405000100"
"10290","269339777639389242224150093315331720853125028387146","Applicant","659383978502878124852238934644881322","COMPLETED","08133862100845142655787190825998255644","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","","1709126280000000","1709267175000500"
"10291","90991289354975701823146121554907231327","Applicant","24295015588534594610224804861526549245","SCHEDULED","456801505650610834215046581546523042","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709024880000000","1709272252029200"
"10292","066068086013527198273162220037667095435596","Applicant","00568763171862717494647153195554441831288","SCHEDULED","51253861989484519956296939435553780137581","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709022840000000","1709272877279200"
"10293","90991289354975701823146121554907231327","Applicant","24295015588534594610224804861526549245","IN_PROGRESS","456801505650610834215046581546523042","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709024880000000","1709273100000300"
"10294","066068086013527198273162220037667095435596","Applicant","00568763171862717494647153195554441831288","IN_PROGRESS","51253861989484519956296939435553780137581","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709022840000000","1709273100000300"
"10295","66969707387696414740418128365683189924","Applicant","70497031832276419216915385622721168737452","DRAFT","09272454092976299756996530266299674494444","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1709275920000000","1709275943000100"
"10296","66969707387696414740418128365683189924","Applicant","70497031832276419216915385622721168737452","REQUESTED","09272454092976299756996530266299674494444","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1709275920000000","1709275943000100"
