"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"23042","8760688496808551472371663674179785067301239","Applicant","38167759175543883044804632438651795","COMPLETED","16832903831956808835582041565455507210","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706543220000000","1714521899000500"
"23043","8982580424005043885432286120428315612011","Applicant","50614660022659785354202357305400741913","COMPLETED","828006620773073609623906548165046261462704","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706613960000000","1714521962000500"
"23044","64810988863649178681875200868563461289750","Applicant","697911950055001700757516033391661467422","COMPLETED","8146941079492849264003701009139095927","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706298660000000","1714521987000500"
"23045","7660000829087745924478091936815256154193213","Applicant","902260840737283421176660586075635212407107261","CANCELLED","645612154161358608585809150672906658414","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","DECLINED","1705595820000000","1714521987000600"
"23046","4162983389135324637969667195986641546838391","Applicant","8304495700807654547922824407280769055","COMPLETED","63016766655539466474983473019580473547","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706267340000000","1714522285000500"
"23047","4142174949518721882640895820356678833","Applicant","16838951182015614836623697470836158556494","COMPLETED","3572464528502608611965592975548087376554","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1706695200000000","1714522322000500"
"23048","585254467841413433490513952226128371","Applicant","639842378909620282880246453958629646670","COMPLETED","934596440419656204490510832235634360","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1704894600000000","1714522323000500"
"23049","22084230578288407108658959716518174782","Applicant","62282287360751538916079632573604693234022666","COMPLETED","1499278493228784071074220319599472017388766893","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706194560000000","1714522368000500"
"23050","9858951738131497073088023069269679997976","Applicant","04039072056269436775318106921146789107","CANCELLED","74746264531985073632999421473570581191123","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1706190900000000","1714522546000600"
"23051","76615268536069124666795993971770458080420395","Applicant","810643140187110571138392588944357805125","COMPLETED","1378358872108290175829379535975886803141","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706700840000000","1714522617000500"
"23052","0440454735285532661107245962568998380544","Applicant","71768101847030978842438574620574783217220","COMPLETED","70165928179212484586770058853134870228595","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1706669580000000","1714525393000500"
"23053","902713793734597956333870721162613393","Applicant","27656117158544119043911828427138573579992287","COMPLETED","70314434321905510508492524531839326106028749","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706599920000000","1714525477000500"
"23054","8767001659633281497350112049759515202","Applicant","8861255028593581059553072515996","COMPLETED","3485474511141811486100284409024592642414","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706695800000000","1714525551000500"
"23055","60873484097411607643151678015130276718","Applicant","5585712783309357328249966848940376554","COMPLETED","15087237228572000018084871792272880844299","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1706698440000000","1714525616000500"
"23056","488040683592183066866668277922923295651085","Applicant","5585712783309357328249966848940376554","CANCELLED","518621384916524496365692708913974196956","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1704792300000000","1714525616000600"
"23057","38276278914127478878212599199572446675","Applicant","21441602060069640018952714407613255","COMPLETED","174935805621969013558066133117526114","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1706719080000000","1714525688000500"
"23058","48514721246333613626229409007391806913145718","Applicant","1883144169081182875191123941512200754086","CANCELLED","9392479279420772521145802724257558409086661","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1705617600000000","1714528904000600"
"23059","78868397454435671601422553557598235718706638","Applicant","517404732215017820966496525094077356681","COMPLETED","4609156481088537231966883416778379774908351745","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706615820000000","1714528997000500"
"23060","04153075107709429935933029221626721238205","Applicant","33153687318486548274917452276806564255377229","COMPLETED","2438198503000506127890923627173397","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1706697540000000","1714529035000500"
"23061","3870243311100054520764851969186757844933","Applicant","5480749001087433939645544426982653557214","CANCELLED","954421625843972152604947527611784755805","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1706599740000000","1714529086000600"
"23062","5068000823441680907271380166829686876","Applicant","16838951182015614836623697470836158556494","CANCELLED","3572464528502608611965592975548087376554","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1706080440000000","1714532502000600"
"23063","97186022277729943431487244434377933","Applicant","16838951182015614836623697470836158556494","CANCELLED","3572464528502608611965592975548087376554","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1706592180000000","1714532502000600"
"23064","72219102783985222273225533969143809628764","Applicant","719482784740219618550512534598533314011745184","COMPLETED","7630361757608169895641905499586622316931","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1706711280000000","1714532628000500"
"23065","10478371163099846283537502218953945424","Applicant","71768101847030978842438574620574783217220","CANCELLED","18655471836182997912210609027069393462","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","DECLINED","1706151180000000","1714536044000600"
"23066","4856886449723651663689168447238311109269949","Applicant","942517935775412144780728774539328755","COMPLETED","73281516065909579521576593121672853399682026","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706693880000000","1714543250000500"
"23067","7523728529849962487959467914793272","Applicant","7067072967497548682152822700643832356817","COMPLETED","316315462017631000331615689932483499411120","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1706701740000000","1714543251000500"
"23068","63419064369274562078566076253950464","Applicant","7397579259607740161443962452572587985142","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1714470240000000","1714547405000100"
"23069","63419064369274562078566076253950464","Applicant","7397579259607740161443962452572587985142","REQUESTED","06890583323852278753584690766733131","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1714470240000000","1714547481000100"
