"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"1","55348716733956986538398821894531034729","Applicant","236125609928407058402701525147942724036795235","DRAFT","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704179580000000","1704179616000100"
"2","07858596826792068960958955431848735","Applicant","377145829586159005350067502985818187668283502","DRAFT","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704181980000000","1704182009000100"
"3","55348716733956986538398821894531034729","Applicant","236125609928407058402701525147942724036795235","REQUESTED","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704179580000000","1704183253000100"
"4","07858596826792068960958955431848735","Applicant","377145829586159005350067502985818187668283502","REQUESTED","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704181980000000","1704183522000100"
"5","07858596826792068960958955431848735","Applicant","377145829586159005350067502985818187668283502","SCHEDULED","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704181980000000","1704183603000200"
"6","55348716733956986538398821894531034729","Applicant","236125609928407058402701525147942724036795235","SCHEDULED","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1704179580000000","1704183623000200"
"7","55348716733956986538398821894531034729","Applicant","236125609928407058402701525147942724036795235","SCHEDULED","570517235829768072337419819319376543469143","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1704179580000000","1704183665000200"
"8","378553548206971680867018395580052004224","Applicant","6200973244497718291927852848163926951573","SCHEDULED","679536256942872726678452648801440187644778665","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1704194520000000","1704194584000200"
"9","535562021034414302565878162999476305454663529139","Applicant","51076203929006228626036066924436812194692","DRAFT","954421625843972152604947527611784755805","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1704197580000000","1704197589000100"
"10","535562021034414302565878162999476305454663529139","Applicant","51076203929006228626036066924436812194692","REQUESTED","954421625843972152604947527611784755805","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1704197580000000","1704197675000100"
