"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"36716","8659969176706772453598522212856506051","Applicant","754352941337447106482524347645365879026","CANCELLED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1711625700000000","1719792288000600"
"36717","6707504090816239620315210267204332674220876986","Applicant","45528433228019824769313942276267617435","PENDING_FEEDBACK","83228440982607152666875688487531533252575847591384","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1711954680000000","1719792381000400"
"36718","68766672972512667179876857754835719541001226","Applicant","4302496433957989650022888916565329863525","PENDING_FEEDBACK","508921241370334540212843665914805258111","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","","1711469460000000","1719792394000400"
"36719","32430504055805517913583314444313756207307738","Applicant","49284498612388230429010551448741397","COMPLETED","7521683805277661491897143641874447293403463523","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1711555380000000","1719792533000500"
"36720","4427726750960783259045177153100742714238337","Applicant","754352941337447106482524347645365879026","CANCELLED","532636183278122105173517467773359380","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1711560780000000","1719792653000600"
"36721","07899936700291709592881044253029702513790","Applicant","2588442446861636469201075287185549063218","COMPLETED","752169553298642464066237055704167697011","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1710422760000000","1719792690000500"
"36722","33229056880368322988235453143498961465492969","Applicant","56086485397600816419239355273954648766","COMPLETED","51253861989484519956296939435553780137581","MS_TEAMS","false","true","ONLINE","Technical","DONE","","1711513740000000","1719795723000500"
"36723","6957296587501956853976613720548628607163","Applicant","09727951095702085070282505498214410013314","CANCELLED","0661142476069100684687841824494","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1710868680000000","1719795748000600"
"36724","55767002146102037902930616608003702671698944","Applicant","0970777738311938276866890207918169157","COMPLETED","7647593368325036813610441702302525265","MS_TEAMS","false","true","ONLINE","Technical","DONE","","1711367520000000","1719795818000500"
"36725","741793960745140499201958339923282730146","Applicant","4302496433957989650022888916565329863525","CANCELLED","6751637554435747347564718957760544985689","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709548920000000","1719795914000600"
"36726","208306540473350707683347931447973757061610","Applicant","23861273344281591495295249586843467803490500820","SCHEDULED","987438934756317847038897206292820003022336252","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1719287220000000","1719797545868200"
"36727","857281814416199275126066618131927","Applicant","4302496433957989650022888916565329863525","CANCELLED","6751637554435747347564718957760544985689","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1709035560000000","1719799236000600"
"36728","32888199916173211207937694579133338386","Applicant","4302496433957989650022888916565329863525","COMPLETED","6751637554435747347564718957760544985689","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1711002360000000","1719799254000500"
"36729","40639801096411839722325812374666326498","Applicant","4302496433957989650022888916565329863525","CANCELLED","6751637554435747347564718957760544985689","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1709914140000000","1719799254000600"
"36730","208306540473350707683347931447973757061610","Applicant","23861273344281591495295249586843467803490500820","IN_PROGRESS","987438934756317847038897206292820003022336252","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1719287220000000","1719799500000300"
"36731","68423904737275752118688071676527583786","Applicant","359727477806213741645113253328497057156","DRAFT","","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1719799980000000","1719800029000100"
"36732","25742889211459130229721064542818060915563","Applicant","3573905561535714301672599719010053701371041564","REQUESTED","","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1719800280000000","1719800297000100"
"36733","25742889211459130229721064542818060915563","Applicant","3573905561535714301672599719010053701371041564","DRAFT","","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","","1719800280000000","1719800297000100"
"36734","208306540473350707683347931447973757061610","Applicant","23861273344281591495295249586843467803490500820","PENDING_FEEDBACK","987438934756317847038897206292820003022336252","MS_TEAMS","false","false","ONLINE","Technical","RECORDING_ON_THE_WAY","ACCEPTED","1719287220000000","1719802800000400"
"36735","70038458489350456094542811252483466493","Applicant","744331192642096402626456319131698704885823","COMPLETED","98798879397281272516476103583718865364268","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1711977240000000","1719802887000500"
"36736","9278188283786464623581005648550837728433885226","Applicant","071544788886280703327185100233273114914","SCHEDULED","41858505167197046402767193031633349788839584","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","ACCEPTED","1719412320000000","1719803689000200"
"36737","3639081839482202419587717416636511621","Applicant","45528433228019824769313942276267617435","CANCELLED","83228440982607152666875688487531533252575847591384","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1711037340000000","1719806437000600"
"36738","988427838610894150573926591809696188942","Applicant","0306210710822948577525080258195879583847132404","SCHEDULED","7424375104921289423334386411859326636","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1719296700000000","1719808220218200"
"36739","988427838610894150573926591809696188942","Applicant","0306210710822948577525080258195879583847132404","IN_PROGRESS","7424375104921289423334386411859326636","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1719296700000000","1719810300000300"
"36740","01774841223856843889246968720165476480561","Applicant","32013146519639510659583212121209973194542704985","SCHEDULED","472956240012340476443242911580436078611679","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1718362020000000","1719810890844200"
"36741","01774841223856843889246968720165476480561","Applicant","32013146519639510659583212121209973194542704985","IN_PROGRESS","472956240012340476443242911580436078611679","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1718362020000000","1719811342433300"
"36742","027149473275094888816723358752700349691410992531","Applicant","91813371325053347139958784275265282196065196989","REQUESTED","","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1719488340000000","1719812813000100"
"36743","208306540473350707683347931447973757061610","Applicant","23861273344281591495295249586843467803490500820","COMPLETED","987438934756317847038897206292820003022336252","MS_TEAMS","false","false","ONLINE","Technical","RECORDING_ON_THE_WAY","ACCEPTED","1719287220000000","1719813128000500"
"36744","988427838610894150573926591809696188942","Applicant","0306210710822948577525080258195879583847132404","PENDING_FEEDBACK","7424375104921289423334386411859326636","MS_TEAMS","false","false","ONLINE","Technical","RECORDING_ON_THE_WAY","ACCEPTED","1719296700000000","1719813600000400"
