"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"95672","8698780651003206922884433924792659164673188","Applicant","18082117836944455366124462730876687077","CANCELLED","62275182224879164235119820466676226557","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1727700000000000","1738368150000600"
"95673","0757335282262390341003257719975572096","Applicant","18082117836944455366124462730876687077","COMPLETED","62275182224879164235119820466676226557","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1729096380000000","1738368151000500"
"95674","4031683769821383066731492765585405737","Applicant","89533749572649258290736564524181180442","COMPLETED","10418206511029986077811760204397602875","MS_TEAMS","false","true","ONLINE","Project","DONE","ACCEPTED","1732878120000000","1738371640000500"
"95675","197067049463186170644957778445797102","Applicant","98321051091014312464367487745185076629","COMPLETED","3498873616786522524665164650284012633","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","","1729841460000000","1738371660000500"
"95676","78748509088265742423024576273223021794521","Applicant","98321051091014312464367487745185076629","CANCELLED","3498873616786522524665164650284012633","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1729521540000000","1738371660000600"
"95677","78123271719290126324845720814320467204","Applicant","0071829063073430947548157763370256113","COMPLETED","1560989405221085462835835641536904816","MS_TEAMS","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706264580000000","1738393200000500"
"95678","8576696713308450922460337576692752414273689023","Applicant","493643231278904686133546418785348493273","COMPLETED","97214077053857669388095642301272535103856374","INTERVIEW_PLATFORM","false","false","ONLINE","Project","EXPIRED","ACCEPTED","1706622660000000","1738400400000500"
"95679","4126881153052596708776459957704104450763","Applicant","466803176512860968834349836438353391315960","COMPLETED","37159942427498604214603677505557687","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1705929600000000","1738400401000500"
"95680","5085645316780269408308612010689509019","Applicant","453506894020628110038452028004653811480","PENDING_FEEDBACK","026919606049733367938290286520571443","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706263080000000","1738402200000400"
"95681","44512366286053545133352455208600372220616","Applicant","70805588375422994732382146856194006433872","COMPLETED","8192768408600863606234610598859300654363461","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706609880000000","1738402201000500"
"95682","338273345489008328723393991032011662267233016","Applicant","443292549691108692112044167805301616142","COMPLETED","328483239587749830272313245709973952773156383408","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706280900000000","1738404001000500"
"95683","2883102673643918627172337210647259628213684974","Applicant","236605991501170982173668034838204374010","COMPLETED","3957710349592953872593174519749282483363720","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706267040000000","1738404001000500"
"95684","032854424436618218448115312939099257","Applicant","54420666363884130010049953706113810891","COMPLETED","8234239766760115761380194827484560030298895","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706270640000000","1738404002000500"
"95685","613950755888318238723089658158825015335321","Applicant","487102190950305258048988921187298978","COMPLETED","8084168411527406686044880755201099676","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706183280000000","1738407600000500"
"95686","89892183141715170967741398936183583711","Applicant","16202464774090654993271250718080049929279","CANCELLED","841734802708333091782934280639994025831814929","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706193600000000","1738407600000600"
"95687","969068571224383693917027055177305325656588","Applicant","4336683942434825755092929656706228088","COMPLETED","0750799649912425571550314729224129205138515","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706694300000000","1738411206000500"
"95688","703412549646936798672574428084292542710844","Applicant","3940455417647772415573735175182485891768083","CANCELLED","49895195492433775144837205113629457665464308","MS_TEAMS","false","false","ONLINE","Project","NO_MEDIA","","1733851200000000","1738413600000600"
"95689","780842288635326388695689116051738829190982","Applicant","9778619164944670800681852429467176051171232","COMPLETED","49030626240636813844230016930806631443936","INTERVIEW_PLATFORM","false","false","ONLINE","Project","EXPIRED","ACCEPTED","1706626440000000","1738414802000500"
"95690","4142174949518721882640895820356678833","Applicant","16838951182015614836623697470836158556494","COMPLETED","3572464528502608611965592975548087376554","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","","1706695200000000","1738416600000500"
"95691","240591216368682803533351051068643179554539229","Applicant","8410939422444501228488570533111468447","COMPLETED","2247908863245261946159322869539119577621","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706522460000000","1738422000000500"
"95692","09872459489562405916546982678263932","Applicant","7311560565041059357618407515603618958859","COMPLETED","089435078273010935573412841686636480098","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","EXPIRED","ACCEPTED","1706608440000000","1738422000000500"
